Date,Market Cap,% Change
2023-04-25,14695044165,0.77%
2023-04-24,14583249236,-0.07%
2023-04-21,14593230926,0.72%
2023-04-20,14489421349,0.25%
2023-04-19,14453487264,0.29%
2023-04-18,14411564166,-0.54%
2023-04-17,14489421349,1.78%
2023-04-14,14235886420,-1.42%
2023-04-13,14441509236,-0.48%
2023-04-12,14511381067,-1.36%
2023-04-11,14711014869,-1.23%
2023-04-10,14894677967,1.03%
2023-04-06,14742956277,-0.83%
2023-04-05,14866729234,-1.36%
2023-04-04,15072352051,-1.01%
2023-04-03,15226070078,-1.52%
2023-03-31,15461637964,0.45%
2023-03-30,15391766134,-1.42%
2023-03-29,15613359654,1.64%
2023-03-28,15361821063,-0.45%
2023-03-27,15431692894,0.05%
2023-03-24,15423707542,2.73%
2023-03-23,15014458248,-0.25%
2023-03-22,15052388670,-3.05%
2023-03-21,15525520781,-1.43%
2023-03-20,15751106977,1.61%
2023-03-17,15501564725,-1.21%
2023-03-16,15691216837,-0.66%
2023-03-15,15795026414,-0.35%
2023-03-14,15850923878,-0.09%
2023-03-13,15864898244,1.48%
2023-03-10,15633323034,-1.43%
2023-03-09,15860905568,-1.13%
2023-03-08,16042572328,-0.04%
2023-03-07,16048561342,-1.59%
2023-03-06,16308085285,-0.84%
2023-03-03,16445832608,1.05%
2023-03-02,16274147539,1.56%
2023-03-01,16024605286,-1.10%
2023-02-28,16202279370,-0.67%
2023-02-27,16312077961,-0.40%
2023-02-24,16377957116,-1.33%
2023-02-23,16599550636,1.25%
2023-02-22,16393927820,-0.57%
2023-02-21,16487755707,-1.60%
2023-02-17,16755265001,-0.21%
2023-02-16,16791199086,0.57%
2023-02-15,16695374861,-0.19%
2023-02-14,16727316269,-1.44%
2023-02-13,16970869508,0.31%
2023-02-10,16918964719,4.63%
2023-02-09,16170337962,-1.44%
2023-02-08,16405905848,-0.23%
2023-02-07,16443836270,-1.65%
2023-02-06,16719330917,-0.04%
2023-02-03,16725319931,-0.56%
2023-02-02,16819147818,0.18%
2023-02-01,16789202748,-1.67%
2023-01-31,17074679085,0.91%
2023-01-30,16920961057,-0.92%
2023-01-27,17078671761,0.49%
2023-01-26,16994825564,0.58%
2023-01-25,16897005001,-0.14%
2023-01-24,16920961057,0.75%
2023-01-23,16795191762,0.19%
2023-01-20,16763250353,1.78%
2023-01-19,16469788665,0.21%
2023-01-18,16435850918,-1.94%
2023-01-17,16761254015,0.99%
2023-01-13,16597554298,-0.50%
2023-01-12,16681400495,0.97%
2023-01-11,16521693453,2.99%
2023-01-10,16042572328,-0.86%
2023-01-09,16182315990,0.56%
2023-01-06,16092480779,3.21%
2023-01-05,15591399936,-1.30%
2023-01-04,15797022752,1.10%
2023-01-03,15625337682,-4.46%
2022-12-30,16355379547,-0.42%
2022-12-29,16424442570,-0.13%
2022-12-28,16445370759,-1.38%
2022-12-27,16675580835,-0.09%
2022-12-23,16690230568,1.22%
2022-12-22,16489319955,-0.97%
2022-12-21,16650467009,1.23%
2022-12-20,16447463577,-1.79%
2022-12-19,16746736677,0.30%
2022-12-16,16696509024,-1.12%
2022-12-15,16884862723,0.29%
2022-12-14,16836727889,-0.09%
2022-12-13,16851377621,1.36%
2022-12-12,16625353182,0.75%
2022-12-09,16501876868,-0.15%
2022-12-08,16526990695,-0.11%
2022-12-07,16545826065,-0.74%
2022-12-06,16669302379,-0.11%
2022-12-05,16688137749,-2.66%
2022-12-02,17144372264,1.37%
2022-12-01,16912069369,2.55%
2022-11-30,16491412774,0.74%
2022-11-29,16370029279,0.60%
2022-11-28,16271666792,-3.27%
2022-11-25,16822078157,0.90%
2022-11-23,16671395198,-1.19%
2022-11-22,16872305810,0.40%
2022-11-21,16805335606,0.73%
2022-11-18,16683952111,1.06%
2022-11-17,16508155325,0.78%
2022-11-16,16380493373,-0.32%
2022-11-15,16432813845,0.73%
2022-11-14,16313523169,-0.59%
2022-11-11,16409792838,-1.78%
2022-11-10,16706973119,1.77%
2022-11-09,16416071294,0.81%
2022-11-08,16284223705,-0.29%
2022-11-07,16332358539,0.83%
2022-11-04,16198418131,3.13%
2022-11-03,15706605694,-0.42%
2022-11-02,15773575898,-1.73%
2022-11-01,16051920809,0.52%
2022-10-31,15968208054,0.51%
2022-10-28,15886588118,1.81%
2022-10-27,15604057569,1.13%
2022-10-26,15430353602,0.31%
2022-10-25,15382218768,3.39%
2022-10-24,14877849417,0.34%
2022-10-21,14827621764,0.44%
2022-10-20,14762744379,-0.23%
2022-10-19,14796229481,-0.80%
2022-10-18,14915520157,1.50%
2022-10-17,14695774175,2.57%
2022-10-14,14327438052,-3.79%
2022-10-13,14892499150,0.25%
2022-10-12,14854828410,-0.76%
2022-10-11,14967840629,1.19%
2022-10-10,14792043843,-0.90%
2022-10-07,14925984252,-0.61%
2022-10-06,15018068282,-2.43%
2022-10-05,15392682862,-0.12%
2022-10-04,15411518232,2.28%
2022-10-03,15068295936,3.15%
2022-09-30,14607875782,4.59%
2022-09-29,13966743639,-5.78%
2022-09-28,14823798433,0.94%
2022-09-27,14685694817,-3.28%
2022-09-26,15183274022,-4.73%
2022-09-23,15936751103,-0.91%
2022-09-22,16082978462,-1.79%
2022-09-21,16375433178,-1.99%
2022-09-20,16708506605,-2.37%
2022-09-19,17114693711,-0.39%
2022-09-16,17181714583,1.37%
2022-09-15,16950187933,-1.52%
2022-09-14,17212178616,-0.09%
2022-09-13,17228426100,-2.07%
2022-09-12,17591963560,0.48%
2022-09-09,17508695204,0.57%
2022-09-08,17409179363,-0.38%
2022-09-07,17476200235,1.27%
2022-09-06,17256859198,1.52%
2022-09-02,16998930386,-0.85%
2022-09-01,17145157744,0.46%
2022-08-31,17065951258,-0.53%
2022-08-30,17157343357,-1.79%
2022-08-29,17470107429,0.34%
2022-08-26,17411210298,-1.11%
2022-08-25,17606180109,0.97%
2022-08-24,17437612460,-0.31%
2022-08-23,17492447719,-0.79%
2022-08-22,17632582271,-1.34%
2022-08-19,17872232664,0.24%
2022-08-18,17829583017,-0.57%
2022-08-17,17931129794,-0.05%
2022-08-16,17939253536,-0.07%
2022-08-15,17951439149,0.58%
2022-08-12,17847861437,1.54%
2022-08-11,17577747012,-0.59%
2022-08-10,17681324724,1.14%
2022-08-09,17482293042,0.90%
2022-08-08,17325911006,0.82%
2022-08-05,17185776454,0.55%
2022-08-04,17092353420,-0.93%
2022-08-03,17252797327,-1.77%
2022-08-02,17563530463,-1.12%
2022-08-01,17762562145,-2.06%
2022-07-29,18136254282,5.27%
2022-07-28,17228426100,1.33%
2022-07-27,17002992257,-0.32%
2022-07-26,17057827516,0.39%
2022-07-25,16990806643,0.36%
2022-07-22,16929878578,0.59%
2022-07-21,16830362737,0.04%
2022-07-20,16824269930,-0.78%
2022-07-19,16956280739,0.40%
2022-07-18,16889259867,-0.62%
2022-07-15,16994868515,2.89%
2022-07-14,16517598665,-1.02%
2022-07-13,16688197250,-0.12%
2022-07-12,16708506605,-0.06%
2022-07-11,16718661282,0.82%
2022-07-08,16582588602,0.63%
2022-07-07,16479010890,-0.41%
2022-07-06,16546031762,-0.72%
2022-07-05,16665856959,-1.57%
2022-07-01,16931909513,0.62%
2022-06-30,16828331801,3.32%
2022-06-29,16287932911,-2.52%
2022-06-28,16708955120,-0.52%
2022-06-27,16796263873,0.92%
2022-06-24,16642988506,0.99%
2022-06-23,16480012167,-0.57%
2022-06-22,16575081698,1.78%
2022-06-21,16285992716,1.19%
2022-06-17,16093913460,1.10%
2022-06-16,15919295954,-0.61%
2022-06-15,16016305680,1.95%
2022-06-14,15709754947,0.58%
2022-06-13,15618565805,-2.78%
2022-06-10,16064810542,1.33%
2022-06-09,15853329341,-1.48%
2022-06-08,16091973265,-1.11%
2022-06-07,16272411355,2.21%
2022-06-06,15921236149,-1.11%
2022-06-03,16099734043,-1.20%
2022-06-02,16295693689,0.04%
2022-06-01,16289873105,-0.21%
2022-05-31,16324796607,-1.19%
2022-05-27,16520756252,1.79%
2022-05-26,16229727076,0.61%
2022-05-25,16130777156,0.48%
2022-05-24,16053169375,1.53%
2022-05-23,15810645061,0.26%
2022-05-20,15769900977,0.14%
2022-05-19,15748558837,-0.56%
2022-05-18,15837807785,-1.52%
2022-05-17,16082272293,1.96%
2022-05-16,15773781366,-0.05%
2022-05-13,15781542144,2.60%
2022-05-12,15381862075,2.76%
2022-05-11,14968600644,1.51%
2022-05-10,14745478276,-0.80%
2022-05-09,14863830141,-1.54%
2022-05-06,15096653482,-0.68%
2022-05-05,15199483791,-1.80%
2022-05-04,15478871800,1.62%
2022-05-03,15232467098,-0.03%
2022-05-02,15236347487,-2.77%
2022-04-29,15670951057,-5.91%
2022-04-28,16654629673,2.13%
2022-04-27,16307334856,0.26%
2022-04-26,16264650577,-0.99%
2022-04-25,16427626916,-0.70%
2022-04-22,16544038586,-0.15%
2022-04-21,16569261115,-0.38%
2022-04-20,16633287534,0.59%
2022-04-19,16536277808,1.89%
2022-04-18,16229727076,0.60%
2022-04-14,16132717350,1.06%
2022-04-13,15963920428,0.24%
2022-04-12,15925116538,0.40%
2022-04-11,15861090119,-1.14%
2022-04-08,16043468403,1.26%
2022-04-07,15843628368,-0.41%
2022-04-06,15909594982,2.36%
2022-04-05,15542898219,-1.11%
2022-04-04,15717515725,-1.10%
2022-04-01,15892133231,1.32%
2022-03-31,15684532418,1.65%
2022-03-30,15430694160,-1.53%
2022-03-29,15670860606,2.08%
2022-03-28,15351889545,0.36%
2022-03-25,15297476835,1.65%
2022-03-24,15049805187,0.53%
2022-03-23,14971000572,-0.49%
2022-03-22,15044176286,0.20%
2022-03-21,15014155480,0.04%
2022-03-18,15008526579,0.31%
2022-03-17,14961619070,0.49%
2022-03-16,14888443356,-0.46%
2022-03-15,14957866469,0.53%
2022-03-14,14879061854,-0.50%
2022-03-11,14954113869,0.58%
2022-03-10,14867804052,0.23%
2022-03-09,14834030646,0.16%
2022-03-08,14809638741,-0.67%
2022-03-07,14909082660,-1.73%
2022-03-04,15171764710,1.66%
2022-03-03,14924093063,1.16%
2022-03-02,14753349730,1.47%
2022-03-01,14539451489,0.12%
2022-02-28,14522564786,-0.33%
2022-02-25,14571348595,2.60%
2022-02-24,14201717424,0.12%
2022-02-23,14184830721,-0.72%
2022-02-22,14288027241,-0.28%
2022-02-18,14327429548,0.38%
2022-02-17,14273016838,-0.77%
2022-02-16,14383718559,0.60%
2022-02-15,14297408743,0.50%
2022-02-14,14226109329,-0.25%
2022-02-11,14261759036,2.21%
2022-02-10,13954045777,-1.63%
2022-02-09,14184830721,1.30%
2022-02-08,14002829586,-0.25%
2022-02-07,14038479293,-0.87%
2022-02-04,14162315117,-1.82%
2022-02-03,14424997167,-1.41%
2022-02-02,14631390207,1.08%
2022-02-01,14475657277,-0.58%
2022-01-31,14560090793,0.67%
2022-01-28,14462523174,2.43%
2022-01-27,14119160209,-0.46%
2022-01-26,14184830721,-0.36%
2022-01-25,14235490831,-0.03%
2022-01-24,14239243432,-0.05%
2022-01-21,14246748633,0.12%
2022-01-20,14229861930,-2.22%
2022-01-19,14552585592,-1.35%
2022-01-18,14751473430,-0.68%
2022-01-14,14852793649,-0.68%
2022-01-13,14954113869,-0.50%
2022-01-12,15029165883,1.16%
2022-01-11,14856546250,-1.21%
2022-01-10,15038547385,-0.63%
2022-01-07,15134238703,0.05%
2022-01-06,15126733502,0.15%
2022-01-05,15104217898,-1.47%
2022-01-04,15329373941,0.54%
2022-01-03,15246816725,-0.96%
2021-12-31,15395044453,7.60%
2021-12-30,14307616247,-1.28%
2021-12-29,14492590918,0.68%
2021-12-28,14394868450,0.62%
2021-12-27,14305871203,1.42%
2021-12-23,14105191136,0.37%
2021-12-22,14052839815,0.21%
2021-12-21,14023174066,0.59%
2021-12-20,13941156995,-0.24%
2021-12-17,13974312832,-0.10%
2021-12-16,13988273184,0.48%
2021-12-15,13921961510,1.03%
2021-12-14,13780612941,-1.24%
2021-12-13,13953372303,0.90%
2021-12-10,13829474175,0.37%
2021-12-09,13778867897,-1.14%
2021-12-08,13937666907,0.74%
2021-12-07,13834709307,0.63%
2021-12-06,13747457104,1.85%
2021-12-03,13497915804,0.01%
2021-12-02,13496170760,2.44%
2021-12-01,13175082653,-1.11%
2021-11-30,13323411398,-3.05%
