Date,Market Cap,% Change
2023-04-17,35906,
2023-04-14,35906,
2023-04-13,35906,
2023-04-12,35906,
2023-04-11,35906,
2023-04-10,35906,
2023-04-06,35906,
2023-04-05,35906,
2023-04-03,35906,
2023-03-31,35906,
2023-03-30,35906,
2023-03-29,35906,
2023-03-28,35906,
2023-03-27,35906,
2023-03-24,35906,
2023-03-23,35906,
2023-03-22,35906,
2023-03-20,35906,
2023-03-17,35906,
2023-03-16,35906,
2023-03-15,35906,
2023-03-14,35906,
2023-03-13,35906,
2023-03-10,35906,
2023-03-09,35906,
2023-03-08,35906,
2023-03-07,35906,
2023-03-06,35906,
2023-03-03,35906,
2023-03-02,35906,
2023-03-01,35906,
2023-02-28,35906,
2023-02-27,35906,
2023-02-24,35906,
2023-02-23,35906,
2023-02-22,35906,
2023-02-21,35906,
2023-02-17,35906,
2023-02-16,35906,
2023-02-15,35906,
2023-02-14,35906,
2023-02-13,35906,
2023-02-10,35906,
2023-02-09,35906,
2023-02-08,35906,
2023-02-07,35906,
2023-02-06,35906,
2023-02-03,35906,
2023-02-02,35906,
2023-02-01,35906,
2023-01-31,35906,
2023-01-30,35906,
2023-01-27,35906,
2023-01-26,35906,
2023-01-25,35906,
2023-01-24,35906,
2023-01-23,35906,
2023-01-20,35906,
2023-01-19,35906,
2023-01-18,35906,
2023-01-17,35906,
2023-01-13,35906,
2023-01-12,35906,-33.33%
2023-01-11,53859,
2023-01-10,53859,
2023-01-09,53859,
2023-01-06,53859,
2023-01-05,53859,
2023-01-04,53859,
2023-01-03,53859,
2022-12-30,53859,
2022-12-29,53859,
2022-12-28,53859,-25.00%
2022-12-27,71811,
2022-12-23,71811,
2022-12-22,71811,
2022-12-21,71811,
2022-12-20,71811,
2022-12-19,71811,
2022-12-16,71811,
2022-12-15,71811,
2022-12-14,71811,
2022-12-13,71811,
2022-12-12,71811,
2022-12-09,71811,
2022-12-08,71811,
2022-12-07,71811,
2022-12-06,71811,
2022-12-05,71811,
2022-12-02,71811,
2022-12-01,71811,
2022-11-30,71811,
2022-11-29,71811,
2022-11-28,71811,
2022-11-25,71811,
2022-11-23,71811,
2022-11-22,71811,
2022-11-21,71811,33.33%
2022-11-18,53859,-25.00%
2022-11-17,71811,
2022-11-16,71811,
2022-11-15,71811,
2022-11-14,71811,
2022-11-11,71811,
2022-11-10,71811,
2022-11-09,71811,
2022-11-08,71811,
2022-11-07,71811,
2022-11-04,71811,
2022-11-03,71811,
2022-11-02,71811,
2022-11-01,71811,
2022-10-31,71811,
2022-10-28,71811,
2022-10-27,71811,
2022-10-26,71811,
2022-10-25,71811,
2022-10-24,71811,
2022-10-21,71811,
2022-10-20,71811,
2022-10-19,71811,-50.00%
2022-10-18,143623,100.00%
2022-10-17,71811,
2022-10-14,71811,
2022-10-13,71811,
2022-10-12,71811,
2022-10-11,71811,
2022-10-10,71811,
2022-10-07,71811,
2022-10-06,71811,
2022-10-05,71811,
2022-10-04,71811,-20.00%
2022-10-03,89764,
2022-09-30,89764,
2022-09-29,89764,-37.50%
2022-09-28,143623,
2022-09-27,143623,
2022-09-26,143623,
2022-09-23,143623,
