Date,Market Cap,% Change
2023-04-24,3580863000,0.05%
2023-04-21,3579180000,-1.07%
2023-04-20,3617888999,0.16%
2023-04-19,3612279000,1.04%
2023-04-18,3575253000,-0.78%
2023-04-17,3603303000,1.33%
2023-04-14,3556179000,-1.57%
2023-04-13,3612840000,-0.51%
2023-04-12,3631353000,-1.31%
2023-04-11,3679599000,0.55%
2023-04-10,3659403000,-0.47%
2023-04-06,3676794000,1.31%
2023-04-05,3629109000,1.43%
2023-04-04,3578058000,-0.58%
2023-04-03,3598815000,-0.34%
2023-03-31,3611157000,0.50%
2023-03-30,3593205000,0.23%
2023-03-29,3584790000,0.79%
2023-03-28,3556740000,0.11%
2023-03-27,3552813000,0.05%
2023-03-24,3551130000,4.15%
2023-03-23,3409758000,0.48%
2023-03-22,3393489000,-3.54%
2023-03-21,3518031000,-2.94%
2023-03-20,3624621000,1.24%
2023-03-17,3580302000,-0.05%
2023-03-16,3581985000,0.92%
2023-03-15,3549447000,0.46%
2023-03-14,3533178000,2.99%
2023-03-13,3430515000,1.39%
2023-03-10,3383391000,-1.31%
2023-03-09,3428271000,-0.71%
2023-03-08,3452955000,1.50%
2023-03-07,3401904000,-1.89%
2023-03-06,3467541000,-0.71%
2023-03-03,3492225000,1.04%
2023-03-02,3456321000,0.64%
2023-03-01,3434442000,0.05%
2023-02-28,3432759000,-0.41%
2023-02-27,3446784000,0.08%
2023-02-24,3443979000,0.02%
2023-02-23,3443418000,-0.89%
2023-02-22,3474273000,0.21%
2023-02-21,3466980000,0.10%
2023-02-17,3463614000,2.99%
2023-02-16,3363195000,2.22%
2023-02-15,3290265000,-0.44%
2023-02-14,3304851000,-2.66%
2023-02-13,3395172000,0.28%
2023-02-10,3385635000,0.84%
2023-02-09,3357585000,-1.84%
2023-02-08,3420417000,-2.09%
2023-02-07,3493347000,-0.37%
2023-02-06,3506250000,-0.24%
2023-02-03,3514665000,-1.07%
2023-02-02,3552813000,1.47%
2023-02-01,3501201000,0.89%
2023-01-31,3470346000,2.50%
2023-01-30,3385635000,-1.08%
2023-01-27,3422661000,-0.26%
2023-01-26,3431637000,-0.67%
2023-01-25,3454638000,-1.14%
2023-01-24,3494469000,-1.35%
2023-01-23,3542154000,-1.64%
2023-01-20,3601059000,1.04%
2023-01-19,3564033000,-0.16%
2023-01-18,3569643000,-2.56%
2023-01-17,3663330000,-0.20%
2023-01-13,3670623000,-0.86%
2023-01-12,3702600000,-0.11%
2023-01-11,3706526999,0.95%
2023-01-10,3671745000,0.17%
2023-01-09,3665574000,-0.15%
2023-01-06,3671184000,1.87%
2023-01-05,3603863999,-1.91%
2023-01-04,3673988999,0.55%
2023-01-03,3653792999,8.09%
2022-12-30,3380324000,-1.32%
2022-12-29,3425388000,1.22%
2022-12-28,3383992000,-1.51%
2022-12-27,3435867999,1.42%
2022-12-23,3387660000,0.05%
2022-12-22,3386088000,-0.45%
2022-12-21,3401284000,1.23%
2022-12-20,3359888000,0.27%
2022-12-19,3350980000,0.31%
2022-12-16,3340500000,-0.23%
2022-12-15,3348360000,-1.71%
2022-12-14,3406524000,-0.75%
2022-12-13,3432200000,0.20%
2022-12-12,3425388000,0.57%
2022-12-09,3406000000,0.46%
2022-12-08,3390280000,-0.06%
2022-12-07,3392375999,-0.38%
2022-12-06,3405475999,-1.25%
2022-12-05,3448444000,-0.14%
2022-12-02,3453160000,-0.14%
2022-12-01,3457875999,-0.32%
2022-11-30,3468880000,-0.15%
2022-11-29,3474120000,-0.06%
2022-11-28,3476216000,-0.88%
2022-11-25,3507132000,1.61%
2022-11-23,3451588000,-0.42%
2022-11-22,3466260000,0.68%
2022-11-21,3442680000,1.08%
2022-11-18,3406000000,1.45%
2022-11-17,3357267999,0.06%
2022-11-16,3355172000,0.82%
2022-11-15,3327924000,1.81%
2022-11-14,3268712000,2.78%
2022-11-11,3180156000,-0.69%
2022-11-10,3202164000,6.78%
2022-11-09,2998852000,4.86%
2022-11-08,2859992000,0.42%
2022-11-07,2847940000,-1.68%
2022-11-04,2896672000,2.03%
2022-11-03,2839032000,-1.29%
2022-11-02,2876236000,-2.24%
2022-11-01,2942260000,-0.21%
2022-10-31,2948548000,-1.47%
2022-10-28,2992564000,4.35%
2022-10-27,2867852000,1.71%
2022-10-26,2819644000,1.01%
2022-10-25,2791348000,1.00%
2022-10-24,2763576000,0.76%
