Date,Market Cap,% Change
2023-04-24,3261878410,0.07%
2023-04-21,3259688739,0.97%
2023-04-20,3228303470,1.03%
2023-04-19,3195458420,0.37%
2023-04-18,3183780180,-0.41%
2023-04-17,3196918200,1.30%
2023-04-14,3156044360,-2.33%
2023-04-13,3231223030,-0.61%
2023-04-12,3250930060,-0.11%
2023-04-11,3254579510,1.29%
2023-04-10,3212975780,0.11%
2023-04-06,3209326330,0.80%
2023-04-05,3183780180,2.97%
2023-04-04,3091814040,0.40%
2023-04-03,3079405910,-0.61%
2023-03-31,3098383050,0.40%
2023-03-30,3085974920,0.36%
2023-03-29,3075026570,1.37%
2023-03-28,3033422840,-0.05%
2023-03-27,3034882620,1.09%
2023-03-24,3002037570,3.45%
2023-03-23,2902042640,-1.56%
2023-03-22,2948025710,-1.44%
2023-03-21,2991089220,-2.84%
2023-03-20,3078676020,1.59%
2023-03-17,3030503280,-0.46%
2023-03-16,3044371190,0.82%
2023-03-15,3019554930,0.15%
2023-03-14,3015175590,1.82%
2023-03-13,2961163730,0.62%
2023-03-10,2942916480,-1.90%
2023-03-09,2999847900,-0.56%
2023-03-08,3016635370,1.05%
2023-03-07,2985250100,-1.02%
2023-03-06,3015905480,-0.51%
2023-03-03,3031233170,0.68%
2023-03-02,3010796250,1.63%
2023-03-01,2962623510,-1.29%
2023-02-28,3001307680,-0.60%
2023-02-27,3019554930,-0.14%
2023-02-24,3023934270,-0.62%
2023-02-23,3042911410,-0.19%
2023-02-22,3048750530,2.68%
2023-02-21,2969192520,-0.20%
2023-02-17,2975031640,2.08%
2023-02-16,2914450770,0.15%
2023-02-15,2910071430,-0.20%
2023-02-14,2915910550,-0.89%
2023-02-13,2942186590,0.85%
2023-02-10,2917370330,1.40%
2023-02-09,2877226380,-2.91%
2023-02-08,2963353400,-3.45%
2023-02-07,3069187450,1.23%
2023-02-06,3031963060,0.24%
2023-02-03,3024664160,-1.29%
2023-02-02,3064078220,2.14%
2023-02-01,2999847900,3.01%
2023-01-31,2912261100,1.06%
2023-01-30,2881605720,-1.25%
2023-01-27,2918100220,-1.53%
2023-01-26,2963353400,-0.51%
2023-01-25,2978681090,-2.32%
2023-01-24,3049480420,1.41%
2023-01-23,3007146800,-0.51%
2023-01-20,3022474489,0.90%
2023-01-19,2995468560,-1.08%
2023-01-18,3028313610,-2.15%
2023-01-17,3094733600,-1.12%
2023-01-13,3129768320,0.09%
2023-01-12,3126848760,0.97%
2023-01-11,3096923270,0.40%
2023-01-10,3084515140,-1.95%
2023-01-09,3145825900,-1.01%
2023-01-06,3177941060,-1.00%
2023-01-05,3210056220,-2.48%
2023-01-04,3291803900,0.69%
2023-01-03,3269177310,1.01%
2022-12-30,3236332260,-0.83%
2022-12-29,3263338190,1.75%
2022-12-28,3207136660,-1.26%
2022-12-27,3248010500,1.51%
2022-12-23,3199837760,2.36%
2022-12-22,3126118870,0.56%
2022-12-21,3108601510,1.26%
2022-12-20,3069917340,-0.61%
2022-12-19,3088894480,0.28%
2022-12-16,3080135800,-0.59%
2022-12-15,3098383050,-1.44%
2022-12-14,3143636230,-1.10%
2022-12-13,3178670950,0.95%
2022-12-12,3148745460,1.46%
2022-12-09,3103492280,-0.63%
2022-12-08,3123199310,2.64%
2022-12-07,3042911410,-0.24%
2022-12-06,3050210310,-1.23%
2022-12-05,3088164590,0.86%
2022-12-02,3061888550,1.30%
2022-12-01,3022474489,0.31%
2022-11-30,3012985920,2.79%
2022-11-29,2931238239,-1.54%
2022-11-28,2977221310,-0.51%
2022-11-25,2992549000,2.65%
2022-11-23,2915180660,0.23%
2022-11-22,2908611650,1.30%
2022-11-21,2871387260,1.05%
2022-11-18,2841461770,2.53%
2022-11-17,2771392330,-1.68%
2022-11-16,2818835180,-0.08%
2022-11-15,2821024850,1.18%
2022-11-14,2788179800,-0.98%
2022-11-11,2815915620,-1.08%
2022-11-10,2846571000,5.78%
2022-11-09,2691104430,0.79%
2022-11-08,2669937620,-0.79%
2022-11-07,2691104430,-0.67%
2022-11-04,2709351680,1.64%
2022-11-03,2665558280,-0.98%
2022-11-02,2691834320,-2.07%
2022-11-01,2748765739,-8.21%
2022-10-31,2994738670,-0.22%
2022-10-28,3001307680,1.76%
2022-10-27,2949485489,1.56%
2022-10-26,2904232310,0.03%
2022-10-25,2903502420,2.26%
2022-10-24,2839272100,-0.08%
2022-10-21,2841461770,2.07%
2022-10-20,2783800460,-1.90%
2022-10-19,2837812320,0.05%
2022-10-18,2836352540,1.62%
2022-10-17,2791099360,1.78%
2022-10-14,2742196730,-1.93%
2022-10-13,2796208590,3.74%
2022-10-12,2695483770,-2.28%
2022-10-11,2758254310,2.38%
2022-10-10,2694023989,0.93%
2022-10-07,2669207730,-2.19%
2022-10-06,2729058710,-2.15%
2022-10-05,2788909690,-1.50%
2022-10-04,2831243310,1.52%
2022-10-03,2788909690,3.13%
2022-09-30,2704242450,-4.26%
2022-09-29,2824442530,-2.28%
2022-09-28,2890348630,1.34%
2022-09-27,2852269550,-2.67%
2022-09-26,2930624580,-3.38%
2022-09-23,3033145180,2.70%
2022-09-22,2953325570,0.47%
2022-09-21,2939412060,-0.64%
2022-09-20,2958451600,-1.03%
2022-09-19,2989207780,0.05%
2022-09-16,2987743200,1.44%
2022-09-15,2945270380,-1.28%
2022-09-14,2983349460,-0.02%
2022-09-13,2984081750,-2.37%
2022-09-12,3056578460,1.48%
2022-09-09,3011908770,0.93%
2022-09-08,2984081750,-0.32%
2022-09-07,2993601520,1.46%
2022-09-06,2950396410,-0.91%
2022-09-02,2977491139,-1.45%
2022-09-01,3021428540,1.55%
2022-08-31,2975294270,-1.60%
2022-08-30,3023625410,-2.13%
2022-08-29,3089531510,-1.06%
2022-08-26,3122484560,-0.44%
2022-08-25,3136398070,0.21%
2022-08-24,3129807460,-0.88%
2022-08-23,3157634480,-1.10%
2022-08-22,3192784400,-2.31%
2022-08-19,3268210270,0.07%
2022-08-18,3266013400,-0.67%
2022-08-17,3287982100,
2022-08-16,3287982100,1.65%
2022-08-15,3234524930,0.80%
2022-08-12,3208894780,2.03%
2022-08-11,3145185550,-0.60%
2022-08-10,3164225090,0.56%
2022-08-09,3146650130,1.01%
2022-08-08,3115161660,1.12%
2022-08-05,3080744030,-2.21%
2022-08-04,3150311580,2.26%
2022-08-03,3080744030,-2.07%
2022-08-02,3145917840,0.61%
2022-08-01,3126878300,1.04%
2022-07-29,3094657540,-0.09%
2022-07-28,3097586700,2.47%
2022-07-27,3022893120,-0.53%
2022-07-26,3039003500,0.75%
2022-07-25,3016302510,0.91%
2022-07-22,2989207780,0.12%
2022-07-21,2985546330,-1.40%
2022-07-20,3028019150,-1.57%
2022-07-19,3076350290,0.67%
2022-07-18,3055846170,-1.09%
2022-07-15,3089531510,0.76%
2022-07-14,3066098230,-0.85%
2022-07-13,3092460670,-0.26%
2022-07-12,3100515860,-0.42%
2022-07-11,3113697080,0.88%
2022-07-08,3086602350,-1.08%
2022-07-07,3120287690,-0.65%
2022-07-06,3140791810,1.39%
2022-07-05,3097586700,-5.58%
2022-07-01,3280659200,2.96%
2022-06-30,3186193790,2.43%
2022-06-29,3110485920,-1.13%
2022-06-28,3146071680,1.91%
2022-06-27,3087246240,2.56%
2022-06-24,3010264800,1.15%
2022-06-23,2976131520,1.39%
2022-06-22,2935462080,2.12%
2022-06-21,2874457920,-0.78%
2022-06-17,2896971360,-0.97%
2022-06-16,2925294720,-1.37%
2022-06-15,2965964160,0.89%
2022-06-14,2939819520,-1.80%
2022-06-13,2993561280,-3.87%
2022-06-10,3114117120,1.28%
2022-06-09,3074900160,-0.84%
2022-06-08,3101044800,-1.32%
2022-06-07,3142440480,0.39%
2022-06-06,3130094400,0.14%
2022-06-03,3125736960,-0.23%
2022-06-02,3132999360,-0.16%
2022-06-01,3138083040,-0.53%
2022-05-31,3154786560,-1.30%
2022-05-27,3196182240,0.76%
2022-05-26,3172216320,-0.93%
2022-05-25,3201992160,1.43%
2022-05-24,3156965280,0.14%
2022-05-23,3152607839,0.56%
2022-05-20,3135178080,-0.32%
2022-05-19,3145345440,-1.12%
2022-05-18,3180931200,0.27%
2022-05-17,3172216320,0.69%
2022-05-16,3150429120,1.14%
2022-05-13,3114843360,0.70%
2022-05-12,3093056160,-0.51%
2022-05-11,3109033440,1.28%
2022-05-10,3069816480,-0.26%
2022-05-09,3077805120,1.61%
2022-05-06,3029147040,2.08%
2022-05-05,2967416640,-2.08%
2022-05-04,3030599520,3.94%
2022-05-03,2915853600,0.25%
2022-05-02,2908591200,-1.28%
2022-04-29,2946355680,-3.77%
2022-04-28,3061827839,-0.05%
2022-04-27,3063280320,-1.59%
2022-04-26,3112664640,-0.81%
2022-04-25,3138083040,-3.42%
2022-04-22,3249197760,0.07%
2022-04-21,3247019040,-0.31%
2022-04-20,3257186400,0.25%
2022-04-19,3249197760,0.47%
2022-04-18,3233946720,-0.07%
2022-04-14,3236125440,0.11%
2022-04-13,3232494240,-1.48%
2022-04-12,3281152320,0.98%
2022-04-11,3249197760,-2.59%
2022-04-08,3335620320,-0.26%
2022-04-07,3344335200,-0.82%
2022-04-06,3371932320,1.13%
2022-04-05,3334167839,1.03%
2022-04-04,3300034560,-0.68%
2022-04-01,3322548000,1.33%
2022-03-31,3278973600,0.26%
2022-03-30,3270615720,0.40%
2022-03-29,3257694060,0.84%
2022-03-28,3230415000,0.33%
2022-03-25,3219646950,2.89%
2022-03-24,3129195330,-0.55%
2022-03-23,3146424210,-0.79%
2022-03-22,3171549660,-0.72%
2022-03-21,3194521500,1.85%
2022-03-18,3136374030,-1.29%
2022-03-17,3177292620,-1.60%
2022-03-16,3228979260,-1.03%
2022-03-15,3262719150,-0.18%
2022-03-14,3268462110,0.11%
2022-03-11,3264872760,-0.42%
2022-03-10,3278512290,1.17%
2022-03-09,3240465180,-0.49%
2022-03-08,3256258320,-2.37%
2022-03-07,3335224020,
2022-03-04,3335224020,2.67%
2022-03-03,3248361750,1.57%
2022-03-02,3198110850,1.18%
2022-03-01,3160781610,-1.34%
2022-02-28,3203853810,0.50%
2022-02-25,3188060669,2.33%
2022-02-24,3115555800,2.38%
2022-02-23,3043050930,-0.26%
2022-02-22,3050947500,-0.33%
2022-02-18,3060997680,-0.35%
2022-02-17,3071765730,
2022-02-16,3071765730,-0.67%
2022-02-15,3092583960,0.33%
2022-02-14,3082533780,-0.51%
2022-02-11,3098326919,0.19%
2022-02-10,3092583960,-2.71%
2022-02-09,3178728360,-0.02%
2022-02-08,3179446230,-0.07%
2022-02-07,3181599840,0.32%
2022-02-04,3171549660,-0.18%
2022-02-03,3177292620,0.43%
2022-02-02,3163653090,-0.61%
2022-02-01,3183035580,-0.27%
2022-01-31,3191650020,-0.25%
2022-01-28,3199546590,1.34%
2022-01-27,3157192260,-0.34%
2022-01-26,3167960310,-0.45%
2022-01-25,3182317710,0.59%
2022-01-24,3163653090,0.71%
2022-01-21,3141399120,-0.70%
2022-01-20,3163653090,1.15%
2022-01-19,3127759590,-0.77%
2022-01-18,3152167169,0.60%
2022-01-14,3133502550,1.04%
2022-01-13,3101198400,1.22%
2022-01-12,3063869160,0.45%
