Date,Market Cap,% Change
2023-04-24,3366845100,-0.32%
2023-04-21,3377586410,-0.01%
2023-04-20,3377956800,1.56%
2023-04-19,3326102200,0.98%
2023-04-18,3293878270,-1.88%
2023-04-17,3356844570,-0.64%
2023-04-14,3378327190,-2.57%
2023-04-13,3467591180,0.46%
2023-04-12,3451664410,-0.70%
2023-04-11,3476110150,1.07%
2023-04-10,3439441540,0.18%
2023-04-06,3433144910,1.09%
2023-04-05,3396105910,2.21%
2023-04-04,3322768690,1.16%
2023-04-03,3284618520,-0.24%
2023-03-31,3292396710,1.21%
2023-03-30,3253135370,0.73%
2023-03-29,3229430410,0.74%
2023-03-28,3205725450,-0.10%
2023-03-27,3209058960,
2023-03-24,3209058960,3.38%
2023-03-23,3104238590,-0.17%
2023-03-22,3109424050,-1.55%
2023-03-21,3158315530,-3.06%
2023-03-20,3257950440,1.41%
2023-03-17,3212762860,-1.68%
2023-03-16,3267580580,0.94%
2023-03-15,3237208600,0.77%
2023-03-14,3212392470,2.01%
2023-03-13,3149055780,0.33%
2023-03-10,3138684860,-1.21%
2023-03-09,3177205420,-0.79%
2023-03-08,3202391940,1.12%
2023-03-07,3166834500,-0.34%
2023-03-06,3177575810,-1.62%
2023-03-03,3229800800,2.90%
2023-03-02,3138684860,-2.50%
2023-03-01,3219059490,-2.68%
2023-02-28,3307582700,-0.74%
2023-02-27,3332398830,-1.48%
2023-02-24,3382401479,-0.67%
2023-02-23,3405365660,-1.32%
2023-02-22,3450923630,
2023-02-21,3450923630,-1.17%
2023-02-17,3491666530,1.79%
2023-02-16,3430181790,-0.63%
2023-02-15,3452034800,-0.43%
2023-02-14,3466850400,-1.36%
2023-02-13,3514630710,1.42%
2023-02-10,3465368840,1.10%
2023-02-09,3427589060,-1.99%
2023-02-08,3497222380,-2.43%
2023-02-07,3584264030,-1.15%
2023-02-06,3626118100,-0.01%
2023-02-03,3626488490,-0.86%
2023-02-02,3657971640,1.84%
2023-02-01,3592042220,2.98%
2023-01-31,3487962630,1.49%
2023-01-30,3436848810,-2.52%
2023-01-27,3525742410,0.21%
2023-01-26,3518334610,-1.16%
2023-01-25,3559447900,-0.14%
2023-01-24,3564262970,2.53%
2023-01-23,3476480540,0.88%
2023-01-20,3446108560,0.17%
2023-01-19,3440182320,-1.44%
2023-01-18,3490555360,-1.86%
2023-01-17,3556855170,0.58%
2023-01-13,3536483720,0.23%
2023-01-12,3528335140,-0.04%
2023-01-11,3529816700,0.44%
2023-01-10,3514260320,1.74%
2023-01-09,3454257140,-1.47%
2023-01-06,3505741350,1.86%
2023-01-05,3441663880,-3.46%
2023-01-04,3565003750,1.17%
2023-01-03,3523890460,3.03%
2022-12-30,3420185250,-2.21%
2022-12-29,3497421200,0.42%
2022-12-28,3482639200,-0.70%
2022-12-27,3507029500,1.26%
2022-12-23,3463422600,1.03%
2022-12-22,3427945800,-0.32%
2022-12-21,3439032300,1.13%
2022-12-20,3400599100,-0.50%
2022-12-19,3417598400,-0.52%
2022-12-16,3435336800,-1.42%
2022-12-15,3484856500,-1.76%
2022-12-14,3547310450,-1.21%
2022-12-13,3590917350,0.12%
2022-12-12,3586482750,0.22%
2022-12-09,3578722200,-0.10%
2022-12-08,3582417700,0.54%
2022-12-07,3563201100,0.14%
2022-12-06,3558396950,-1.34%
2022-12-05,3606808000,-0.59%
2022-12-02,3628241900,-0.51%
2022-12-01,3646719400,0.70%
2022-11-30,3621220450,1.12%
2022-11-29,3580939500,-0.87%
2022-11-28,3612351250,-1.73%
2022-11-25,3675913850,0.48%
2022-11-23,3658175450,1.06%
2022-11-22,3619742250,0.56%
2022-11-21,3599417000,-0.18%
2022-11-18,3606068900,1.34%
2022-11-17,3558396950,-0.94%
2022-11-16,3592026000,1.00%
2022-11-15,3556549200,1.42%
2022-11-14,3506659950,2.63%
2022-11-11,3416859300,-3.72%
2022-11-10,3548788650,6.36%
2022-11-09,3336666950,0.58%
2022-11-08,3317450350,0.77%
2022-11-07,3291951400,0.18%
2022-11-04,3286038600,1.43%
2022-11-03,3239844850,1.13%
2022-11-02,3203628950,-1.53%
2022-11-01,3253518200,-2.68%
2022-10-31,3342949300,0.91%
2022-10-28,3312646200,2.74%
2022-10-27,3224323750,2.99%
2022-10-26,3130827600,-0.36%
2022-10-25,3142283650,3.47%
2022-10-24,3036961900,1.73%
2022-10-21,2985224900,3.18%
2022-10-20,2893206950,-9.09%
2022-10-19,3182564600,-1.30%
2022-10-18,3224323750,0.80%
2022-10-17,3198824800,1.98%
2022-10-14,3136740400,-0.29%
2022-10-13,3145979150,3.06%
2022-10-12,3052483000,-0.76%
2022-10-11,3075764650,3.15%
2022-10-10,2981898950,1.23%
2022-10-07,2945683050,-1.59%
2022-10-06,2993355000,-1.79%
2022-10-05,3048048400,-1.93%
2022-10-04,3107915500,2.60%
2022-10-03,3029201350,5.16%
2022-09-30,2880642250,-2.25%
2022-09-29,2947030920,-2.48%
2022-09-28,3022055660,2.02%
2022-09-27,2962183700,-2.39%
2022-09-26,3034621380,-1.39%
2022-09-23,3077492660,-1.25%
2022-09-22,3116298559,-0.50%
2022-09-21,3131820920,-0.70%
2022-09-20,3153995720,-1.15%
2022-09-19,3190584140,0.63%
2022-09-16,3170626820,-1.23%
2022-09-15,3210171880,-2.81%
2022-09-14,3302936460,3.71%
2022-09-13,3184670860,-0.08%
2022-09-12,3187257920,2.19%
2022-09-09,3118885620,0.32%
2022-09-08,3108906960,0.39%
2022-09-07,3096710820,1.67%
2022-09-06,3045708780,-0.54%
2022-09-02,3062339880,-1.10%
2022-09-01,3096341240,0.98%
2022-08-31,3066405260,-0.50%
2022-08-30,3081927620,-1.50%
2022-08-29,3128864280,-0.13%
2022-08-26,3132929660,-1.90%
2022-08-25,3193540780,1.65%
2022-08-24,3141799580,0.25%
2022-08-23,3134038400,-2.53%
2022-08-22,3215346000,-1.72%
2022-08-19,3271522160,-0.78%
2022-08-18,3297392760,-0.35%
2022-08-17,3308849740,-0.14%
2022-08-16,3313654280,-0.20%
2022-08-15,3320306720,1.00%
2022-08-12,3287414100,1.55%
2022-08-11,3237151220,-1.05%
2022-08-10,3271522160,0.35%
2022-08-09,3260065180,0.58%
2022-08-08,3241216600,-0.15%
2022-08-05,3246021140,-2.86%
2022-08-04,3341742360,0.12%
2022-08-03,3337676980,2.23%
2022-08-02,3264869720,0.66%
2022-08-01,3243434080,0.68%
2022-07-29,3221628860,-0.22%
2022-07-28,3228650880,4.02%
2022-07-27,3103732840,-0.46%
2022-07-26,3118146460,0.72%
2022-07-25,3095971660,1.47%
2022-07-22,3051252480,0.92%
2022-07-21,3023533980,1.04%
2022-07-20,2992489260,-0.92%
2022-07-19,3020207760,1.29%
2022-07-18,2981771440,-3.02%
2022-07-15,3074536020,1.43%
2022-07-14,3031295160,0.28%
2022-07-13,3022794820,0.26%
2022-07-12,3015033640,-0.97%
2022-07-11,3044600040,0.30%
2022-07-08,3035360540,-1.20%
2022-07-07,3072318540,-0.53%
2022-07-06,3088580059,1.26%
2022-07-05,3050143740,-1.39%
2022-07-01,3093015020,2.67%
2022-06-30,3012446580,2.05%
2022-06-29,2952045280,0.96%
2022-06-28,2923958720,-0.75%
2022-06-27,2946132320,0.80%
2022-06-24,2922850040,1.44%
2022-06-23,2881459320,5.05%
2022-06-22,2742874320,2.66%
2022-06-21,2671918800,-0.43%
2022-06-17,2683375160,1.65%
2022-06-16,2639767080,-2.34%
2022-06-15,2702961840,0.62%
2022-06-14,2686331640,-3.56%
2022-06-13,2785373720,-4.66%
2022-06-10,2921371800,0.52%
2022-06-09,2906219840,-0.76%
2022-06-08,2928393440,-2.61%
