Date,Market Cap,% Change
2023-04-25,5796861784,-1.52%
2023-04-24,5886415204,0.68%
2023-04-21,5846805038,1.95%
2023-04-20,5734863262,-1.13%
2023-04-19,5800306146,0.24%
2023-04-18,5786528697,-0.68%
2023-04-17,5826138864,-0.12%
2023-04-14,5833027588,-0.41%
2023-04-13,5857138125,1.80%
2023-04-12,5753807255,-0.24%
2023-04-11,5767584704,2.73%
2023-04-10,5614310581,-2.19%
2023-04-06,5740029806,-1.51%
2023-04-05,5827861045,
2023-04-04,5827861045,-0.53%
2023-04-03,5858860306,-2.66%
2023-03-31,6019023154,2.70%
2023-03-30,5860582487,1.61%
2023-03-29,5767584704,1.42%
2023-03-28,5686642190,2.17%
2023-03-27,5566089509,1.09%
2023-03-24,5505813168,1.33%
2023-03-23,5433481559,0.03%
2023-03-22,5431759378,-0.79%
2023-03-21,5474813907,1.18%
2023-03-20,5411093204,0.74%
2023-03-17,5371483038,1.07%
2023-03-16,5314651059,0.69%
2023-03-15,5278485255,-0.29%
2023-03-14,5293984885,4.63%
2023-03-13,5059768248,2.62%
2023-03-10,4930604661,-2.88%
2023-03-09,5076990059,-1.67%
2023-03-08,5163099117,1.01%
2023-03-07,5111433682,0.64%
2023-03-06,5078712240,0.61%
2023-03-03,5047712979,1.63%
2023-03-02,4966770465,2.85%
2023-03-01,4828995972,0.68%
2023-02-28,4796274530,-0.64%
2023-02-27,4827273791,-0.43%
2023-02-24,4847939965,-1.81%
2023-02-23,4937493385,-1.44%
2023-02-22,5009824994,0.52%
2023-02-21,4983992277,-3.57%
2023-02-17,5168265661,1.18%
2023-02-16,5107989320,-1.89%
2023-02-15,5206153646,1.37%
2023-02-14,5135544219,1.19%
2023-02-13,5075267878,0.89%
2023-02-10,5030491168,-0.78%
2023-02-09,5070101335,-0.44%
2023-02-08,5092489690,0.37%
2023-02-07,5073545697,-0.27%
2023-02-06,5087323146,-2.15%
2023-02-03,5199264922,-3.45%
2023-02-02,5385260487,0.16%
2023-02-01,5376649581,-0.95%
2023-01-31,5428315016,1.03%
2023-01-30,5373205219,0.16%
2023-01-27,5364594313,0.32%
2023-01-26,5347372501,-0.26%
2023-01-25,5361149951,-1.64%
2023-01-24,5450703371,0.86%
2023-01-23,5404204480,2.02%
2023-01-20,5297429248,-0.90%
2023-01-19,5345650320,-0.83%
2023-01-18,5390427030,-0.70%
2023-01-17,5428315016,2.91%
2023-01-13,5275040893,1.59%
2023-01-12,5192376197,2.27%
2023-01-11,5076990059,2.50%
2023-01-10,4952993016,-0.45%
2023-01-09,4975381371,2.48%
2023-01-06,4854828690,1.55%
2023-01-05,4780774900,-3.78%
2023-01-04,4968492646,2.05%
2023-01-03,4868606139,2.67%
2022-12-30,4741848684,-0.97%
2022-12-29,4788337396,2.21%
2022-12-28,4685029146,-1.56%
2022-12-27,4759066725,-1.74%
2022-12-23,4843435130,0.36%
2022-12-22,4826217088,-3.28%
2022-12-21,4989788484,0.07%
2022-12-20,4986344876,-0.79%
2022-12-19,5025946372,-4.14%
2022-12-16,5242893697,-1.81%
2022-12-15,5339314731,-3.43%
2022-12-14,5528713189,-0.03%
2022-12-13,5530434994,3.28%
2022-12-12,5354810968,0.71%
2022-12-09,5316931276,-0.06%
2022-12-08,5320374885,0.29%
2022-12-07,5304878647,-0.10%
2022-12-06,5310044060,-5.31%
2022-12-05,5607916181,-0.40%
2022-12-02,5630299635,0.80%
2022-12-01,5585532727,-0.52%
2022-11-30,5614803398,3.99%
2022-11-29,5399577877,-1.66%
2022-11-28,5490833498,-1.33%
2022-11-25,5564871077,0.50%
2022-11-23,5537322210,0.82%
2022-11-22,5492555302,1.69%
2022-11-21,5401299681,1.75%
2022-11-18,5308322256,-1.44%
2022-11-17,5385803443,-2.65%
2022-11-16,5532156798,-0.43%
2022-11-15,5556262056,1.86%
2022-11-14,5454675610,-1.09%
2022-11-11,5514938756,-2.44%
2022-11-10,5652683090,3.70%
2022-11-09,5451232002,-0.03%
2022-11-08,5452953806,1.41%
2022-11-07,5377194422,-0.83%
2022-11-04,5421961331,2.41%
2022-11-03,5294547822,0.59%
2022-11-02,5263555347,-1.67%
2022-11-01,5353089164,0.19%
2022-10-31,5342758339,0.39%
2022-10-28,5322096689,1.81%
2022-10-27,5227397460,-1.27%
2022-10-26,5294547822,-0.36%
2022-10-25,5313487668,6.27%
2022-10-24,5000119309,-0.85%
2022-10-21,5043164413,-1.15%
2022-10-20,5101705755,-3.74%
2022-10-19,5299713235,-0.26%
2022-10-18,5313487668,2.97%
2022-10-17,5160247097,2.85%
2022-10-14,5017337351,-1.59%
2022-10-13,5098262147,1.16%
2022-10-12,5039720805,-3.43%
2022-10-11,5218788439,-1.81%
2022-10-10,5315209472,-5.22%
2022-10-07,5607916181,-0.79%
2022-10-06,5652683090,-2.32%
2022-10-05,5786983815,-0.41%
2022-10-04,5811089073,0.63%
2022-10-03,5774931186,2.61%
2022-09-30,5628100187,1.24%
2022-09-29,5559212792,-3.84%
2022-09-28,5781374642,-1.00%
2022-09-27,5839928928,-2.02%
2022-09-26,5960481869,-4.10%
2022-09-23,6215365231,-3.06%
2022-09-22,6411694308,-4.44%
2022-09-21,6709632292,-1.59%
2022-09-20,6818129939,-1.25%
2022-09-19,6904239183,-0.35%
2022-09-16,6928349772,-0.37%
2022-09-15,6954182545,-0.07%
2022-09-14,6959349100,1.92%
2022-09-13,6828463049,-0.88%
2022-09-12,6888739520,0.45%
2022-09-09,6857740192,0.53%
2022-09-08,6821574309,1.36%
2022-09-07,6730298511,1.77%
