Date,Market Cap,% Change
2023-04-25,2887135232,-1.13%
2023-04-24,2920181162,-0.28%
2023-04-21,2928274043,-0.64%
2023-04-20,2947157431,-1.73%
2023-04-19,2999086750,-1.57%
2023-04-18,3046969628,0.47%
2023-04-17,3032807087,-0.18%
2023-04-14,3038202341,-0.53%
2023-04-13,3054388102,4.33%
2023-04-12,2927599636,-6.14%
2023-04-11,3119131149,0.78%
2023-04-10,3094852506,-0.43%
2023-04-06,3108340641,0.70%
2023-04-05,3086759626,0.28%
2023-04-04,3077992338,-2.35%
2023-04-03,3152177079,1.48%
2023-03-31,3106317421,1.30%
2023-03-30,3066527424,0.38%
2023-03-29,3055062509,1.66%
2023-03-28,3005156411,0.91%
2023-03-27,2978180141,0.66%
2023-03-24,2958622346,-0.05%
2023-03-23,2959971159,0.07%
2023-03-22,2957947939,-0.59%
2023-03-21,2975482514,-0.99%
2023-03-20,3005156411,0.56%
2023-03-17,2988296242,-1.73%
2023-03-16,3040899968,2.76%
2023-03-15,2959296753,-2.08%
2023-03-14,3022016579,2.17%
2023-03-13,2957947939,2.26%
2023-03-10,2892530486,-1.47%
2023-03-09,2935692517,-0.96%
2023-03-08,2964017600,1.57%
2023-03-07,2918157942,-3.82%
2023-03-06,3034155900,2.44%
2023-03-03,2961994380,0.39%
2023-03-02,2950529465,0.57%
2023-03-01,2933669297,0.67%
2023-02-28,2914111501,-1.26%
2023-02-27,2951203872,-1.17%
2023-02-24,2986273022,0.23%
2023-02-23,2979528955,1.19%
2023-02-22,2944459805,1.25%
2023-02-21,2908041841,-0.74%
2023-02-17,2929622856,1.54%
2023-02-16,2885112012,-1.45%
2023-02-15,2927599636,-0.02%
2023-02-14,2928274043,0.88%
2023-02-13,2902646587,0.94%
2023-02-10,2875670318,0.97%
2023-02-09,2848019641,1.15%
2023-02-08,2815648118,-2.84%
2023-02-07,2897925740,-0.19%
2023-02-06,2903320994,-1.19%
2023-02-03,2938390144,-1.87%
2023-02-02,2994365903,1.49%
2023-02-01,2950529465,-1.06%
2023-01-31,2982226582,2.38%
2023-01-30,2912762688,-2.46%
2023-01-27,2986273022,-1.91%
2023-01-26,3044272001,-1.29%
2023-01-25,3084061999,0.09%
2023-01-24,3081364372,0.75%
2023-01-23,3058434543,0.98%
2023-01-20,3028760646,4.22%
2023-01-19,2906018621,0.42%
2023-01-18,2893879299,-0.95%
2023-01-17,2921529976,0.02%
