Date,Market Cap,% Change
2023-04-24,4251949600,-0.41%
2023-04-21,4269570880,0.71%
2023-04-20,4239549439,0.06%
2023-04-19,4236938880,1.04%
2023-04-18,4193212000,-1.44%
2023-04-17,4254560160,0.20%
2023-04-14,4246075840,-1.03%
2023-04-13,4290455359,0.12%
2023-04-12,4285234240,-0.73%
2023-04-11,4316560960,0.08%
2023-04-10,4313297760,1.01%
2023-04-06,4270223520,0.51%
2023-04-05,4248686399,2.63%
2023-04-04,4139695520,1.34%
2023-04-03,4084873760,-0.81%
2023-03-31,4118158400,0.35%
2023-03-30,4103800320,-0.13%
2023-03-29,4109021440,1.63%
2023-03-28,4043104800,1.01%
2023-03-27,4002641120,0.59%
2023-03-24,3979146080,3.27%
2023-03-23,3853186560,-1.62%
2023-03-22,3916492640,-2.09%
2023-03-21,4000030560,-1.54%
2023-03-20,4062684000,1.77%
2023-03-17,3992198880,-0.96%
2023-03-16,4030704640,0.49%
2023-03-15,4011125440,-0.13%
2023-03-14,4016346560,1.89%
2023-03-13,3941945600,0.87%
2023-03-10,3908008320,-1.82%
2023-03-09,3980451360,-0.59%
2023-03-08,4003946400,0.77%
2023-03-07,3973272320,-1.49%
2023-03-06,4033315200,-0.75%
2023-03-03,4063989280,1.02%
2023-03-02,4022872960,0.82%
2023-03-01,3990240960,-0.44%
2023-02-28,4007862240,-1.62%
2023-02-27,4073778880,-0.49%
2023-02-24,4094010720,0.59%
2023-02-23,4069863040,-0.75%
2023-02-22,4100537120,-0.66%
2023-02-21,4127948000,-2.27%
2023-02-17,4223886080,0.92%
2023-02-16,4185380319,0.05%
2023-02-15,4183422399,1.14%
2023-02-14,4136432320,-0.50%
2023-02-13,4157316800,-0.70%
2023-02-10,4186685600,1.49%
2023-02-09,4125337440,-1.89%
2023-02-08,4204959520,-9.28%
2023-02-07,4635049280,-0.56%
2023-02-06,4661154880,-0.74%
2023-02-03,4695744800,-1.98%
2023-02-02,4790377600,1.28%
2023-02-01,4729682080,0.12%
2023-01-31,4723808320,1.79%
2023-01-30,4640923040,-0.25%
2023-01-27,4652670560,-0.14%
2023-01-26,4659196960,0.55%
2023-01-25,4633744000,0.60%
2023-01-24,4606333120,-0.23%
2023-01-23,4616775360,-0.41%
2023-01-20,4635701920,0.82%
2023-01-19,4597848800,-0.10%
2023-01-18,4602417280,-1.23%
2023-01-17,4659849600,-1.90%
2023-01-13,4749913920,-0.51%
2023-01-12,4774061600,0.73%
2023-01-11,4739471680,2.09%
2023-01-10,4642228320,-0.06%
2023-01-09,4644838880,-1.19%
2023-01-06,4700965920,3.00%
2023-01-05,4563911520,-2.02%
2023-01-04,4657891680,1.31%
2023-01-03,4597848800,0.78%
2022-12-30,4562111720,-1.05%
2022-12-29,4610755220,1.33%
2022-12-28,4550437280,-0.47%
2022-12-27,4571840420,0.95%
2022-12-23,4529034140,1.23%
2022-12-22,4473904840,-1.00%
2022-12-21,4519305440,1.50%
2022-12-20,4452501700,0.10%
2022-12-19,4447961640,-0.25%
2022-12-16,4458987500,-0.43%
2022-12-15,4478444900,-1.86%
2022-12-14,4563408880,-0.68%
2022-12-13,4594540720,-0.11%
2022-12-12,4599729360,1.11%
2022-12-09,4549140120,-0.31%
2022-12-08,4563408880,1.00%
2022-12-07,4518008280,-0.68%
2022-12-06,4549140120,-0.01%
2022-12-05,4549788700,-1.27%
2022-12-02,4608160900,0.78%
2022-12-01,4572489000,-1.58%
2022-11-30,4645778540,1.88%
2022-11-29,4560165980,-0.37%
2022-11-28,4577029060,-0.23%
2022-11-25,4587406340,0.99%
2022-11-23,4542654320,0.69%
2022-11-22,4511522480,1.09%
2022-11-21,4462878980,0.73%
2022-11-18,4430449980,2.72%
2022-11-17,4313057000,-0.70%
2022-11-16,4343540260,-0.64%
2022-11-15,4371429200,0.91%
2022-11-14,4331865820,-0.39%
2022-11-11,4348728900,-0.80%
2022-11-10,4383752220,5.35%
2022-11-09,4161289280,0.45%
2022-11-08,4142480460,1.38%
2022-11-07,4086054000,-2.69%
2022-11-04,4198906919,2.00%
2022-11-03,4116537260,-2.43%
2022-11-02,4219012900,-0.93%
2022-11-01,4258576280,0.44%
2022-10-31,4239767460,-0.76%
2022-10-28,4272196460,1.78%
2022-10-27,4197609760,2.10%
2022-10-26,4111348620,0.62%
2022-10-25,4086054000,2.29%
2022-10-24,3994604220,0.42%
2022-10-21,3977741140,0.41%
2022-10-20,3961526640,-3.02%
2022-10-19,4084756840,-1.84%
2022-10-18,4161289280,1.33%
2022-10-17,4106808560,3.21%
2022-10-14,3979038300,-1.73%
2022-10-13,4049084940,-0.34%
2022-10-12,4062705120,-3.02%
2022-10-11,4189178220,-1.04%
2022-10-10,4233281659,0.83%
2022-10-07,4198258340,-1.43%
2022-10-06,4259224860,-4.62%
2022-10-05,4465473300,-2.56%
2022-10-04,4582866280,1.58%
2022-10-03,4511522480,2.70%
2022-09-30,4392832340,-2.08%
2022-09-29,4486175400,-2.88%
2022-09-28,4619171200,2.48%
2022-09-27,4507584480,-3.07%
2022-09-26,4650311680,-2.18%
2022-09-23,4754113280,-2.06%
2022-09-22,4854022320,0.07%
2022-09-21,4850778520,-1.51%
2022-09-20,4925385920,-1.89%
2022-09-19,5020104880,1.27%
2022-09-16,4957175160,0.12%
2022-09-15,4951336320,-1.93%
2022-09-14,5048650320,1.06%
2022-09-13,4995452000,-2.20%
2022-09-12,5107687480,0.60%
2022-09-09,5077195760,1.15%
2022-09-08,5019456120,-0.27%
2022-09-07,5033080080,2.52%
2022-09-06,4909166920,-0.17%
2022-09-02,4917600800,-0.81%
2022-09-01,4957823920,1.25%
2022-08-31,4896840480,-1.33%
2022-08-30,4963014000,-1.82%
2022-08-29,5055137920,-0.13%
2022-08-26,5061625520,-0.50%
2022-08-25,5086927160,1.28%
2022-08-24,5022699920,-0.40%
2022-08-23,5042811480,-1.11%
2022-08-22,5099253600,-0.71%
2022-08-19,5135584160,0.20%
2022-08-18,5125204000,0.33%
2022-08-17,5108336240,-0.13%
2022-08-16,5114823840,0.66%
2022-08-15,5081088320,0.67%
2022-08-12,5047352800,2.46%
2022-08-11,4926034680,-1.21%
2022-08-10,4986369360,0.89%
2022-08-09,4942253680,2.04%
2022-08-08,4843642160,0.35%
2022-08-05,4826774400,-0.84%
2022-08-04,4867646280,-1.44%
2022-08-03,4939009880,0.54%
2022-08-02,4912410720,-0.66%
2022-08-01,4944848720,-1.27%
2022-07-29,5008427200,1.03%
2022-07-28,4957175160,2.72%
2022-07-27,4826125640,-0.53%
2022-07-26,4852076040,1.71%
2022-07-25,4770332280,2.78%
2022-07-22,4641229040,1.52%
2022-07-21,4571811720,-0.20%
2022-07-20,4580894360,-2.61%
2022-07-19,4703510000,1.34%
2022-07-18,4641229040,-1.16%
2022-07-15,4695724880,1.33%
2022-07-14,4634092680,0.37%
2022-07-13,4617224920,-0.18%
2022-07-12,4625658800,-0.83%
2022-07-11,4664584400,1.07%
2022-07-08,4615278640,-0.20%
2022-07-07,4624361280,-1.49%
2022-07-06,4694427360,1.36%
2022-07-05,4631497640,-5.56%
2022-07-01,4903976840,3.88%
2022-06-30,4721026520,0.70%
2022-06-29,4688389240,-1.04%
2022-06-28,4737577200,0.14%
2022-06-27,4731105100,2.25%
2022-06-24,4626904290,1.88%
2022-06-23,4541472570,1.61%
2022-06-22,4469632260,1.90%
2022-06-21,4386142170,1.44%
2022-06-17,4324010010,-2.37%
2022-06-16,4428858030,-1.89%
2022-06-15,4514289750,0.74%
2022-06-14,4481282040,-2.42%
2022-06-13,4592602160,-4.62%
2022-06-10,4815242400,0.28%
2022-06-09,4801650990,-2.16%
2022-06-08,4907793430,-1.61%
2022-06-07,4988047470,1.00%
2022-06-06,4938859510,0.99%
2022-06-03,4890318760,-0.47%
2022-06-02,4913618320,-0.60%
2022-06-01,4943389980,-0.37%
2022-05-31,4961511860,-0.84%
2022-05-27,5003580510,0.70%
2022-05-26,4968631170,-0.72%
2022-05-25,5004874930,0.74%
2022-05-24,4967983960,3.30%
2022-05-23,4809417510,1.53%
2022-05-20,4736929990,-0.60%
2022-05-19,4765407230,-1.07%
2022-05-18,4817184030,-1.74%
2022-05-17,4902615750,-1.08%
2022-05-16,4956334180,0.79%
2022-05-13,4917501580,1.97%
2022-05-12,4822361710,-1.01%
2022-05-11,4871549670,-0.01%
2022-05-10,4872196880,-1.66%
2022-05-09,4954392550,1.24%
2022-05-06,4893554810,0.36%
2022-05-05,4876080140,-0.53%
2022-05-04,4901968540,3.19%
2022-05-03,4750521400,1.42%
2022-05-02,4683858770,-1.19%
2022-04-29,4740166040,-3.03%
2022-04-28,4888377130,-0.50%
2022-04-27,4912971110,-0.55%
2022-04-26,4940153930,0.30%
2022-04-25,4925268100,-3.71%
2022-04-22,5114900630,-0.78%
2022-04-21,5155027650,-0.43%
2022-04-20,5177032790,1.02%
2022-04-19,5124608780,0.94%
2022-04-18,5076715240,-0.27%
2022-04-14,5090306650,0.45%
2022-04-13,5067654300,0.45%
2022-04-12,5045001950,0.83%
2022-04-11,5003580510,-1.69%
2022-04-08,5089659440,1.17%
2022-04-07,5030763330,-0.84%
2022-04-06,5073479190,2.07%
2022-04-05,4970572800,0.58%
2022-04-04,4942095560,-2.65%
2022-04-01,5076715240,1.84%
2022-03-31,4984811420,0.61%
2022-03-30,4954718100,1.32%
2022-03-29,4890153100,1.46%
2022-03-28,4819777250,0.34%
2022-03-25,4803636000,2.61%
2022-03-24,4681608150,0.82%
2022-03-23,4643514800,-0.39%
2022-03-22,4661593000,-0.26%
2022-03-21,4673860350,0.71%
2022-03-18,4640932200,-0.39%
2022-03-17,4659010400,0.81%
2022-03-16,4621562700,-1.21%
2022-03-15,4678379900,1.81%
2022-03-14,4595091050,0.18%
2022-03-11,4586697600,0.20%
2022-03-10,4577658500,0.81%
2022-03-09,4540856450,-1.57%
2022-03-08,4613169250,-1.81%
2022-03-07,4698395050,-0.01%
2022-03-04,4699040700,1.73%
2022-03-03,4618980100,2.27%
2022-03-02,4516321750,2.15%
2022-03-01,4421411200,-2.16%
2022-02-28,4518904350,0.14%
2022-02-25,4512447850,2.73%
2022-02-24,4392356950,1.42%
2022-02-23,4331020200,-2.98%
2022-02-22,4464024100,0.19%
2022-02-18,4455630650,1.14%
2022-02-17,4405269950,1.44%
2022-02-16,4342641900,0.92%
2022-02-15,4303257250,0.54%
2022-02-14,4280013850,-0.56%
2022-02-11,4303902900,-0.16%
2022-02-10,4311005050,-0.24%
2022-02-09,4321335450,0.90%
2022-02-08,4282596450,-2.10%
2022-02-07,4374278750,4.29%
2022-02-04,4194142399,-2.04%
2022-02-03,4281305150,-0.63%
2022-02-02,4308422450,-0.33%
2022-02-01,4322626750,-1.17%
2022-01-31,4373633100,0.27%
2022-01-28,4362011400,1.38%
2022-01-27,4302611600,-0.24%
2022-01-26,4312942000,-0.95%
2022-01-25,4354263600,0.88%
2022-01-24,4316170250,-0.12%
2022-01-21,4321335450,0.03%
2022-01-20,4320044150,-0.46%
2022-01-19,4340059300,-0.75%
2022-01-18,4372987450,-1.11%
2022-01-14,4422056850,0.16%
2022-01-13,4414954700,0.65%
2022-01-12,4386546100,0.16%
2022-01-11,4379443950,-2.28%
2022-01-10,4481456650,-1.39%
2022-01-07,4544730350,1.22%
2022-01-06,4489850100,-1.22%
2022-01-05,4545376000,-0.07%
2022-01-04,4548604250,0.79%
2022-01-03,4513093500,-0.95%
2021-12-31,4556352050,0.65%
2021-12-30,4526783490,0.55%
2021-12-29,4501816080,1.14%
2021-12-28,4451241070,0.55%
2021-12-27,4426913850,0.67%
2021-12-23,4397465110,-0.39%
2021-12-22,4414750240,0.94%
2021-12-21,4373778080,0.68%
2021-12-20,4344329340,-0.18%
2021-12-17,4352011620,-1.79%
2021-12-16,4431395180,-1.06%
2021-12-15,4478769240,2.21%
2021-12-14,4382100550,-0.01%
2021-12-13,4382740740,1.75%
2021-12-10,4307198320,0.30%
2021-12-09,4294394520,-0.15%
2021-12-08,4300796420,0.39%
2021-12-07,4284151480,-0.24%
2021-12-06,4294394520,1.93%
2021-12-03,4213090390,0.67%
2021-12-02,4184922030,1.71%
2021-12-01,4114501129,0.23%
2021-11-30,4104898280,-3.02%
2021-11-29,4232936280,1.75%
2021-11-26,4159954620,-2.78%
2021-11-24,4279029960,-0.46%
2021-11-23,4298875850,1.04%
2021-11-22,4254702739,1.87%
2021-11-19,4176599559,1.15%
2021-11-18,4129225500,-0.06%
2021-11-17,4131786260,-0.08%
2021-11-16,4134987210,-2.31%
2021-11-15,4232936280,1.66%
2021-11-12,4163795760,-0.79%
2021-11-11,4197085640,-1.31%
2021-11-10,4252782170,2.80%
2021-11-09,4136907780,-0.19%
2021-11-08,4144590059,-2.06%
2021-11-05,4231655899,0.65%
2021-11-04,4204127730,-2.87%
2021-11-03,4328324590,1.82%
2021-11-02,4250861600,-1.64%
2021-11-01,4321922690,1.70%
2021-10-29,4249581219,-0.61%
2021-10-28,4275829010,1.00%
2021-10-27,4233576469,-0.29%
2021-10-26,4245740079,-0.18%
2021-10-25,4253422360,0.17%
2021-10-22,4246380270,0.81%
2021-10-21,4212450200,0.84%
2021-10-20,4177239750,1.07%
2021-10-19,4133066640,1.08%
2021-10-18,4088893530,-1.08%
2021-10-15,4133706829,-0.31%
2021-10-14,4146510629,0.97%
2021-10-13,4106818850,0.77%
2021-10-12,4075449540,0.86%
2021-10-11,4040879280,-1.36%
2021-10-08,4096575810,-1.58%
2021-10-07,4162515379,-1.66%
2021-10-06,4232936280,1.96%
2021-10-05,4151632149,0.62%
2021-10-04,4126024550,2.06%
2021-10-01,4042799850,0.62%
2021-09-30,4017832440,-0.17%
2021-09-29,4024687140,2.02%
2021-09-28,3944877480,-1.50%
2021-09-27,4005051430,0.59%
2021-09-24,3981615260,-0.59%
2021-09-23,4005051430,-0.96%
2021-09-22,4043689440,-0.31%
2021-09-21,4056357640,-0.67%
2021-09-20,4083594270,-1.42%
2021-09-17,4142501400,-1.82%
2021-09-16,4219144010,-1.60%
2021-09-15,4287552290,-0.06%
2021-09-14,4290085930,0.18%
2021-09-13,4282485010,0.37%
2021-09-10,4266649760,-2.29%
2021-09-09,4366728540,-1.70%
2021-09-08,4442104330,0.20%
2021-09-07,4433236590,-2.10%
2021-09-03,4528248090,-0.85%
2021-09-02,4566886100,0.80%
2021-09-01,4530781730,1.71%
2021-08-31,4454772530,-0.47%
2021-08-30,4475675060,-0.07%
2021-08-27,4478842110,0.71%
2021-08-26,4447171610,-1.02%
2021-08-25,4492777130,0.13%
2021-08-24,4487076440,-1.03%
2021-08-23,4533948780,-1.39%
2021-08-20,4597923190,1.16%
2021-08-19,4545350160,-0.11%
2021-08-18,4550417440,-0.70%
2021-08-17,4582721350,-0.06%
2021-08-16,4585254990,0.47%
2021-08-13,4563719050,1.18%
2021-08-12,4510512610,-0.25%
2021-08-11,4521913990,1.64%
2021-08-10,4449071840,0.47%
2021-08-09,4428169310,-0.48%
2021-08-06,4449705250,-0.48%
2021-08-05,4471241190,0.90%
2021-08-04,4431336360,0.04%
2021-08-03,4429436130,2.79%
2021-08-02,4309088230,0.56%
2021-07-30,4285018650,-0.86%
2021-07-29,4322389840,-0.19%
2021-07-28,4330624170,0.46%
2021-07-27,4310988460,0.84%
2021-07-26,4274884089,-0.25%
2021-07-23,4285652060,2.01%
2021-07-22,4201408530,-1.18%
2021-07-21,4251447920,-1.18%
2021-07-20,4302120720,2.34%
2021-07-19,4203942170,-3.08%
2021-07-16,4337591680,0.90%
2021-07-15,4298953670,2.12%
2021-07-14,4209642859,0.56%
2021-07-13,4186206690,-1.08%
2021-07-12,4231812210,0.23%
2021-07-09,4222311060,1.60%
2021-07-08,4155803010,-0.59%
2021-07-07,4180506000,0.78%
2021-07-06,4148202089,-0.43%
2021-07-02,4165937569,-0.66%
2021-07-01,4193807609,0.88%
2021-06-30,4157069829,0.75%
2021-06-29,4125961209,-2.71%
2021-06-28,4241007819,-0.76%
2021-06-25,4273698660,0.58%
2021-06-24,4249180530,0.69%
2021-06-23,4220261709,-2.11%
2021-06-22,4311418860,-1.39%
2021-06-21,4372399850,2.90%
2021-06-18,4249180530,-3.35%
2021-06-17,4396289310,-0.03%
2021-06-16,4397546650,0.19%
2021-06-15,4389373940,0.55%
2021-06-14,4365484480,-0.33%
2021-06-11,4379943890,0.75%
2021-06-10,4347253050,0.14%
2021-06-09,4340966350,0.41%
2021-06-08,4323363590,0.04%
2021-06-07,4321477580,0.39%
2021-06-04,4304503490,0.84%
2021-06-03,4268669300,1.83%
2021-06-02,4191971560,1.08%
2021-06-01,4147335990,0.27%
2021-05-28,4136019930,0.67%
2021-05-27,4108358449,-0.46%
2021-05-26,4127218550,-0.20%
2021-05-25,4135391260,-0.39%
2021-05-24,4151736680,-0.20%
2021-05-21,4159909390,-0.06%
2021-05-20,4162424069,1.47%
2021-05-19,4102071750,-0.52%
2021-05-18,4123446530,-0.68%
2021-05-17,4151736680,-2.32%
2021-05-14,4250437870,0.90%
2021-05-13,4212717670,2.59%
2021-05-12,4106472439,-2.84%
2021-05-11,4226548410,-2.37%
2021-05-10,4329021620,0.36%
2021-05-07,4313304870,0.31%
2021-05-06,4300102800,1.45%
2021-05-05,4238493140,-1.79%
2021-05-04,4315819550,-0.49%
2021-05-03,4337194330,0.01%
2021-04-30,4336565660,0.28%
2021-04-29,4324620930,0.92%
2021-04-28,4285014720,0.06%
2021-04-27,4282500040,-1.60%
2021-04-26,4352282410,-0.47%
2021-04-23,4373028520,-0.43%
2021-04-22,4391888620,-0.78%
2021-04-21,4426465470,-0.96%
2021-04-20,4469215030,0.88%
2021-04-19,4430237490,-0.17%
2021-04-16,4437781530,0.51%
2021-04-15,4415149410,1.05%
2021-04-14,4369256500,1.21%
2021-04-13,4317076890,-0.26%
2021-04-12,4328392950,1.73%
2021-04-09,4254838560,0.45%
2021-04-08,4235978459,0.03%
2021-04-07,4234721120,-0.63%
2021-04-06,4261753930,-0.03%
2021-04-05,4263011270,1.66%
2021-04-01,4193228900,-0.10%
2021-03-31,4197629589,0.36%
2021-03-30,4182631740,-0.64%
2021-03-29,4209563929,0.78%
2021-03-26,4176994770,-0.15%
2021-03-25,4183258070,1.37%
2021-03-24,4126888370,1.32%
2021-03-23,4073023990,-0.26%
2021-03-22,4083671600,-2.80%
2021-03-19,4201421640,1.73%
2021-03-18,4130020020,-0.03%
2021-03-17,4131272679,-1.06%
2021-03-16,4175742110,0.41%
2021-03-15,4158831200,0.93%
2021-03-12,4120625070,2.72%
2021-03-11,4011643650,-1.63%
2021-03-10,4078034630,2.42%
2021-03-09,3981579810,-0.90%
2021-03-08,4017906950,2.56%
2021-03-05,3917694150,4.42%
2021-03-04,3751716700,0.76%
2021-03-03,3723531850,-0.85%
2021-03-02,3755474680,0.17%
2021-03-01,3749211380,1.18%
2021-02-26,3705368280,-1.74%
2021-02-25,3771132930,-0.95%
2021-02-24,3807460070,-0.73%
2021-02-23,3835644920,3.13%
2021-02-22,3719147540,-3.21%
2021-02-19,3842534550,0.21%
2021-02-18,3834392260,0.02%
2021-02-17,3833765930,0.13%
2021-02-16,3828755290,-0.80%
2021-02-12,3859445460,-0.39%
2021-02-11,3874477380,-0.19%
2021-02-10,3881993340,-0.80%
2021-02-09,3913309840,1.30%
2021-02-08,3863203440,-0.40%
2021-02-05,3878861690,1.51%
2021-02-04,3821239330,1.33%
2021-02-03,3771132930,-1.15%
2021-02-02,3814976030,1.03%
2021-02-01,3776143570,1.98%
2021-01-29,3702862960,-0.81%
2021-01-28,3732926800,1.07%
2021-01-27,3693468010,-1.80%
2021-01-26,3761111650,-1.72%
