Date,Market Cap,% Change
2023-04-24,46591200000,-0.33%
2023-04-21,46745100000,0.87%
2023-04-20,46340100000,-0.38%
2023-04-19,46518300000,0.12%
2023-04-18,46461600000,-2.25%
2023-04-17,47530800000,1.29%
2023-04-14,46923300000,-0.74%
2023-04-13,47271600000,0.81%
2023-04-12,46890900000,-0.33%
2023-04-11,47044800000,0.21%
2023-04-10,46947600000,-0.17%
2023-04-06,47028600000,1.13%
2023-04-05,46502100000,1.95%
2023-04-04,45611100000,1.33%
2023-04-03,45011700000,-0.61%
2023-03-31,45287100000,0.40%
2023-03-30,45108900000,0.20%
2023-03-29,45019800000,1.57%
2023-03-28,44323200000,1.09%
2023-03-27,43845300000,0.56%
2023-03-24,43602300000,3.08%
2023-03-23,42298200000,-1.86%
2023-03-22,43100100000,-1.63%
2023-03-21,43812900000,-2.75%
2023-03-20,45052200000,0.40%
2023-03-17,44874000000,-0.86%
2023-03-16,45262800000,-0.05%
2023-03-15,45287100000,2.19%
2023-03-14,44315100000,0.94%
2023-03-13,43902000000,1.86%
2023-03-10,43100100000,-1.95%
2023-03-09,43958700000,-1.26%
2023-03-08,44517600000,0.55%
2023-03-07,44274600000,-2.34%
2023-03-06,45335700000,0.05%
2023-03-03,45311400000,1.73%
2023-03-02,44541900000,0.46%
2023-03-01,44339400000,-1.58%
2023-02-28,45052200000,-1.26%
2023-02-27,45627300000,-1.18%
2023-02-24,46170000000,-0.51%
2023-02-23,46404900000,-0.73%
2023-02-22,46745100000,-0.67%
2023-02-21,47061000000,-1.02%
2023-02-17,47547000000,1.03%
2023-02-16,47061000000,-0.26%
2023-02-15,47182500000,0.33%
2023-02-14,47028600000,-0.99%
2023-02-13,47498400000,-1.51%
2023-02-10,48227400000,3.14%
2023-02-09,46761300000,-3.09%
2023-02-08,48251700000,-3.30%
2023-02-07,49896000000,-0.23%
2023-02-06,50009400000,2.47%
2023-02-03,48802500000,-2.82%
2023-02-02,50220000000,-1.74%
2023-02-01,51111000000,-0.85%
2023-01-31,51548400000,1.52%
2023-01-30,50778900000,0.38%
2023-01-27,50584500000,-0.21%
2023-01-26,50689800000,0.42%
2023-01-25,50479200000,-0.26%
2023-01-24,50608800000,-0.78%
2023-01-23,51005700000,0.88%
2023-01-20,50560200000,0.66%
2023-01-19,50228100000,0.32%
2023-01-18,50066100000,-1.14%
2023-01-17,50641200000,-0.64%
2023-01-13,50965200000,0.02%
2023-01-12,50957100000,0.85%
2023-01-11,50527800000,0.89%
2023-01-10,50082300000,0.39%
2023-01-09,49887900000,-0.45%
2023-01-06,50114700000,0.67%
2023-01-05,49782600000,-2.77%
2023-01-04,51200100000,0.38%
2023-01-03,51005700000,-0.38%
2022-12-30,51202200000,-0.52%
2022-12-29,51469400000,0.29%
2022-12-28,51319100000,-0.52%
2022-12-27,51586300000,1.63%
2022-12-23,50759650000,0.50%
2022-12-22,50509150000,0.73%
2022-12-21,50141750000,0.79%
2022-12-20,49749300000,0.56%
2022-12-19,49473750000,1.07%
2022-12-16,48947700000,-0.37%
2022-12-15,49131400000,-0.73%
2022-12-14,49490450000,-1.18%
2022-12-13,50083300000,
2022-12-12,50083300000,2.92%
2022-12-09,48663800000,-0.02%
2022-12-08,48672150000,0.50%
2022-12-07,48430000000,-0.43%
2022-12-06,48638750000,-1.72%
2022-12-05,49490450000,-1.98%
2022-12-02,50492450000,0.17%
2022-12-01,50408950000,-1.21%
2022-11-30,51026850000,2.24%
2022-11-29,49907950000,-1.40%
2022-11-28,50617700000,-1.48%
2022-11-25,51377550000,0.82%
2022-11-23,50960050000,1.29%
2022-11-22,50308750000,1.19%
2022-11-21,49715900000,0.64%
2022-11-18,49398600000,1.35%
2022-11-17,48738950000,-2.08%
2022-11-16,49774350000,1.24%
2022-11-15,49164800000,1.59%
2022-11-14,48396600000,-6.00%
2022-11-11,51486100000,-1.14%
2022-11-10,52078950000,3.23%
2022-11-09,50450700000,-3.51%
2022-11-08,52287700000,-0.51%
2022-11-07,52554900000,-6.24%
2022-11-04,56053550000,-3.03%
2022-11-03,57807050000,0.28%
2022-11-02,57648400000,-0.98%
2022-11-01,58216200000,-0.36%
2022-10-31,58424950000,0.81%
2022-10-28,57957350000,3.03%
2022-10-27,56253950000,0.37%
2022-10-26,56045200000,0.30%
