Date,Market Cap,% Change
2023-04-24,76153000000,0.55%
2023-04-21,75737200000,0.14%
2023-04-20,75629400000,-0.18%
2023-04-19,75768000000,1.02%
2023-04-18,75005700000,-1.02%
2023-04-17,75775700000,0.79%
2023-04-14,75182800000,-1.51%
2023-04-13,76337800000,-0.27%
2023-04-12,76545700000,0.06%
2023-04-11,76499500000,0.22%
2023-04-10,76330100000,-0.61%
2023-04-06,76799800000,0.91%
2023-04-05,76106800000,2.71%
2023-04-04,74097100000,1.20%
2023-04-03,73219300000,-1.43%
2023-03-31,74281900000,0.32%
2023-03-30,74043200000,-0.11%
2023-03-29,74127900000,1.60%
2023-03-28,72957500000,0.06%
2023-03-27,72911300000,0.34%
2023-03-24,72664900000,3.08%
2023-03-23,70493500000,-1.51%
2023-03-22,71571500000,-1.92%
2023-03-21,72972900000,-2.61%
2023-03-20,74928700000,0.95%
2023-03-17,74220300000,-0.83%
2023-03-16,74844000000,0.38%
2023-03-15,74559100000,1.83%
2023-03-14,73219300000,0.98%
2023-03-13,72510900000,1.44%
2023-03-10,71479100000,-1.48%
2023-03-09,72549400000,-0.48%
2023-03-08,72895900000,1.23%
2023-03-07,72010400000,-2.56%
2023-03-06,73904600000,0.62%
2023-03-03,73450300000,1.73%
2023-03-02,72202900000,2.02%
2023-03-01,70770700000,-2.49%
2023-02-28,72580200000,-1.62%
2023-02-27,73773700000,-1.15%
2023-02-24,74628400000,0.08%
2023-02-23,74566800000,-0.65%
2023-02-22,75051900000,-0.21%
2023-02-21,75213600000,-1.82%
2023-02-17,76607300000,1.22%
2023-02-16,75683300000,-0.98%
2023-02-15,76430200000,-0.21%
2023-02-14,76591900000,-0.57%
2023-02-13,77030800000,0.94%
2023-02-10,76314700000,1.60%
2023-02-09,75113500000,-1.64%
2023-02-08,76368600000,-1.63%
2023-02-07,77631400000,-0.97%
2023-02-06,78393700000,1.22%
2023-02-03,77446600000,-1.43%
2023-02-02,78570800000,-0.49%
2023-02-01,78955800000,0.09%
2023-01-31,78886500000,0.80%
2023-01-30,78262800000,0.06%
2023-01-27,78216600000,0.24%
2023-01-26,78031800000,-0.08%
2023-01-25,78093400000,0.05%
2023-01-24,78054900000,0.38%
2023-01-23,77762300000,-0.82%
2023-01-20,78401400000,-0.15%
2023-01-19,78516900000,-0.27%
2023-01-18,78732500000,-1.89%
2023-01-17,80249400000,-0.72%
2023-01-13,80834600000,-0.10%
2023-01-12,80911600000,-0.55%
2023-01-11,81358200000,0.22%
2023-01-10,81181100000,0.23%
2023-01-09,80996300000,0.01%
2023-01-06,80988600000,1.86%
2023-01-05,79510200000,-1.48%
2023-01-04,80703700000,1.07%
2023-01-03,79849000000,0.69%
2022-12-30,79302300000,-0.82%
2022-12-29,79956800000,0.91%
2022-12-28,79233000000,-0.74%
2022-12-27,79825900000,0.66%
2022-12-23,79302300000,1.02%
2022-12-22,78501500000,0.03%
2022-12-21,78478400000,1.71%
2022-12-20,77161700000,-0.02%
2022-12-19,77177100000,-0.11%
2022-12-16,77261800000,-2.12%
2022-12-15,78932700000,-0.76%
2022-12-14,79541000000,0.19%
2022-12-13,79387000000,0.76%
2022-12-12,78786400000,1.96%
2022-12-09,77269500000,-0.10%
2022-12-08,77346500000,0.87%
2022-12-07,76676600000,-0.93%
2022-12-06,77392700000,1.39%
2022-12-05,76330100000,-0.39%
2022-12-02,76630400000,-0.79%
2022-12-01,77238700000,0.38%
2022-11-30,76946100000,2.03%
2022-11-29,75413800000,-0.68%
2022-11-28,75929700000,-1.01%
2022-11-25,76707400000,1.10%
2022-11-23,75875800000,0.88%
2022-11-22,75213600000,0.66%
2022-11-21,74720800000,0.26%
2022-11-18,74528300000,1.33%
2022-11-17,73550400000,-2.47%
2022-11-16,75413800000,0.83%
2022-11-15,74790100000,1.76%
2022-11-14,73496500000,0.29%
2022-11-11,73280900000,-1.99%
2022-11-10,74767000000,3.91%
2022-11-09,71956500000,0.27%
2022-11-08,71764000000,1.05%
2022-11-07,71017100000,-1.47%
2022-11-04,72079700000,0.42%
2022-11-03,71779400000,0.37%
2022-11-02,71517600000,-0.92%
2022-11-01,72179800000,0.60%
2022-10-31,71748600000,-0.87%
2022-10-28,72380000000,3.25%
2022-10-27,70100800000,0.25%
2022-10-26,69923700000,0.63%
2022-10-25,69484800000,1.75%
2022-10-24,68291300000,0.26%
2022-10-21,68114199999,1.41%
2022-10-20,67167100000,-2.31%
2022-10-19,68753300000,-1.67%
2022-10-18,69923700000,1.92%
2022-10-17,68606999999,2.63%
2022-10-14,66851399999,-1.33%
2022-10-13,67752299999,2.35%
2022-10-12,66196900000,-3.98%
2022-10-11,68938100000,0.43%
2022-10-10,68645500000,0.09%
2022-10-07,68583899999,-1.87%
2022-10-06,69892900000,-3.46%
2022-10-05,72395400000,-3.19%
2022-10-04,74782400000,1.88%
2022-10-03,73404100000,2.48%
