Date,Market Cap,% Change
2023-04-24,22291222096,0.36%
2023-04-21,22211486458,0.02%
2023-04-20,22207397451,-0.71%
2023-04-19,22366868727,0.76%
2023-04-18,22199219437,-0.32%
2023-04-17,22270777061,1.20%
2023-04-14,22007036104,-1.40%
2023-04-13,22319845146,-0.83%
2023-04-12,22505894968,-0.33%
2023-04-11,22579497095,-0.51%
2023-04-10,22696033797,0.04%
2023-04-06,22687855783,0.36%
2023-04-05,22606075641,2.87%
2023-04-04,21974324047,0.28%
2023-04-03,21912988941,-0.52%
2023-03-31,22027481139,0.71%
2023-03-30,21872098870,0.77%
2023-03-29,21704449580,1.03%
2023-03-28,21483643198,0.55%
2023-03-27,21367106496,0.79%
2023-03-24,21199457206,3.33%
2023-03-23,20516593023,-0.08%
2023-03-22,20532949052,-2.64%
2023-03-21,21089054015,-2.75%
2023-03-20,21686049048,1.43%
2023-03-17,21379373517,-1.26%
2023-03-16,21651292488,0.77%
2023-03-15,21485687701,1.35%
2023-03-14,21199457206,1.81%
2023-03-13,20823268554,1.22%
2023-03-10,20571794619,-2.18%
2023-03-09,21029763412,-0.87%
2023-03-08,21213768731,0.64%
2023-03-07,21078831497,-2.56%
2023-03-06,21632891956,0.70%
2023-03-03,21481598694,1.30%
2023-03-02,21205590716,2.27%
2023-03-01,20735354902,-1.41%
2023-02-28,21031807915,-3.03%
2023-02-27,21688093552,-1.15%
2023-02-24,21939567487,0.08%
2023-02-23,21921166955,-0.26%
2023-02-22,21978413055,-0.09%
2023-02-21,21998858090,-1.67%
2023-02-17,22373002238,1.07%
2023-02-16,22135839827,0.67%
2023-02-15,21988635572,1.38%
2023-02-14,21690138055,0.25%
2023-02-13,21636980963,0.04%
2023-02-10,21628802949,2.30%
2023-02-09,21142211107,-2.07%
2023-02-08,21589957382,-2.00%
2023-02-07,22031570147,-0.98%
2023-02-06,22250332025,0.69%
2023-02-03,22096994260,-2.23%
2023-02-02,22601986634,1.23%
2023-02-01,22328023160,0.86%
2023-01-31,22137884331,0.55%
2023-01-30,22017258622,-0.94%
2023-01-27,22225797983,0.22%
2023-01-26,22176729898,0.90%
2023-01-25,21978413055,0.21%
2023-01-24,21931389473,0.49%
2023-01-23,21825075289,-0.64%
2023-01-20,21966146033,0.41%
2023-01-19,21876187878,-0.55%
2023-01-18,21996813586,0.64%
2023-01-17,21857787346,0.33%
2023-01-13,21786229722,-0.26%
2023-01-12,21843475821,-1.79%
2023-01-11,22242154011,0.98%
2023-01-10,22025436636,-0.67%
2023-01-09,22174685394,0.72%
2023-01-06,22015214118,3.88%
2023-01-05,21193323695,-5.08%
2023-01-04,22328023160,0.07%
2023-01-03,22311667132,-4.64%
2022-12-30,23398251750,-1.39%
2022-12-29,23728947041,0.99%
2022-12-28,23496004446,-1.52%
2022-12-27,23857897406,1.13%
2022-12-23,23591677297,0.65%
2022-12-22,23439848642,-1.23%
2022-12-21,23731026886,1.16%
2022-12-20,23458567243,-0.31%
2022-12-19,23531361804,-1.14%
2022-12-16,23803821447,-2.00%
2022-12-15,24290505083,-1.39%
2022-12-14,24633679442,0.08%
2022-12-13,24614960841,-0.04%
2022-12-12,24625360064,1.31%
2022-12-09,24307143840,-0.11%
2022-12-08,24334181820,0.86%
2022-12-07,24126197360,-0.92%
2022-12-06,24350820576,1.46%
2022-12-05,24001406684,-0.44%
2022-12-02,24107478758,-0.34%
2022-12-01,24188592698,0.03%
2022-11-30,24182353164,3.07%
2022-11-29,23462726932,-0.39%
2022-11-28,23554240095,-0.44%
2022-11-25,23658232325,0.70%
2022-11-23,23493924601,0.24%
2022-11-22,23437768797,-0.32%
2022-11-21,23512643203,1.01%
2022-11-18,23277620763,2.83%
2022-11-17,22637028626,-1.17%
2022-11-16,22905328579,0.55%
2022-11-15,22780537903,0.89%
2022-11-14,22578792977,-1.87%
2022-11-11,23009320809,-0.37%
2022-11-10,23094594438,3.66%
2022-11-09,22279295355,-0.86%
2022-11-08,22472720903,-0.40%
2022-11-07,22562154220,-2.02%
2022-11-04,23028039411,1.25%
2022-11-03,22743100701,0.54%
2022-11-02,22620389869,0.41%
2022-11-01,22528876707,1.10%
2022-10-31,22283455044,-0.55%
2022-10-28,22406165875,2.57%
2022-10-27,21844607833,0.30%
2022-10-26,21780132651,-0.03%
2022-10-25,21786372185,2.35%
2022-10-24,21285129636,0.05%
2022-10-21,21274730413,2.32%
2022-10-20,20792206466,-1.74%
2022-10-19,21160338960,-1.64%
2022-10-18,21513912542,2.09%
2022-10-17,21072985487,1.31%
2022-10-14,20800525844,-0.55%
2022-10-13,20914917297,4.12%
2022-10-12,20087139146,-4.52%
2022-10-11,21037628129,-1.06%
2022-10-10,21262251345,0.99%
2022-10-07,21054266885,-1.44%
2022-10-06,21362083886,-2.10%
2022-10-05,21819649698,-1.17%
2022-10-04,22077550429,2.11%
2022-10-03,21622064461,3.31%
2022-09-30,20929476209,0.24%
2022-09-29,20879639682,-4.82%
2022-09-28,21937557702,1.92%
2022-09-27,21524562783,-2.77%
2022-09-26,22136934560,-2.49%
2022-09-23,22702513809,-2.05%
2022-09-22,23176542460,0.64%
2022-09-21,23028027045,-0.97%
2022-09-20,23253851853,-1.36%
2022-09-19,23575296175,0.40%
2022-09-16,23481711119,0.10%
2022-09-15,23457297626,-2.87%
2022-09-14,24151047712,0.85%
2022-09-13,23947601939,-3.55%
2022-09-12,24828522136,1.75%
2022-09-09,24401286013,1.23%
2022-09-08,24104255185,-0.58%
2022-09-07,24244632768,3.06%
2022-09-06,23524434731,-0.51%
2022-09-02,23644467738,-0.68%
2022-09-01,23807224356,1.49%
2022-08-31,23457297626,-1.33%
2022-08-30,23772638575,-2.16%
2022-08-29,24297528669,0.39%
2022-08-26,24203943613,-0.34%
2022-08-25,24287356380,0.09%
2022-08-24,24264977345,-0.19%
2022-08-23,24311769873,-0.97%
2022-08-22,24549801427,-0.81%
2022-08-19,24749178285,0.97%
2022-08-18,24511146731,-0.65%
2022-08-17,24671868891,-0.78%
2022-08-16,24865142376,0.34%
2022-08-15,24781729609,0.66%
2022-08-12,24618972990,1.88%
2022-08-11,24165288916,0.47%
2022-08-10,24051359284,-1.25%
2022-08-09,24356527943,1.27%
2022-08-08,24051359284,0.41%
2022-08-05,23953705313,-1.00%
2022-08-04,24195805782,1.32%
2022-08-03,23880464834,1.97%
2022-08-02,23418642930,-0.26%
2022-08-01,23479676661,0.24%
2022-07-29,23422711845,0.99%
2022-07-28,23192818122,2.65%
2022-07-27,22594687549,-0.20%
2022-07-26,22639445619,0.44%
2022-07-25,22539757190,1.30%
2022-07-22,22250864193,1.31%
2022-07-21,21964005653,-0.29%
2022-07-20,22027073842,-1.77%
2022-07-19,22423793100,0.87%
2022-07-18,22230519615,-0.77%
2022-07-15,22403448522,0.34%
2022-07-14,22328173586,0.21%
2022-07-13,22281381058,-1.32%
2022-07-12,22578411887,0.18%
2022-07-11,22537722732,0.63%
2022-07-08,22397345149,-0.46%
2022-07-07,22501102493,-0.69%
2022-07-06,22657755739,1.47%
2022-07-05,22330208044,-4.80%
2022-07-01,23457297626,2.36%
2022-06-30,22916131870,0.88%
2022-06-29,22715869496,-0.14%
2022-06-28,22748410808,-0.10%
2022-06-27,22770782960,1.28%
2022-06-24,22484012649,4.38%
2022-06-23,21540314606,1.22%
2022-06-22,21279984111,-0.07%
2022-06-21,21294220935,2.19%
2022-06-17,20838642569,-3.22%
2022-06-16,21532179278,-1.76%
2022-06-15,21918607356,0.45%
2022-06-14,21820983420,-2.20%
2022-06-13,22311136930,-5.37%
2022-06-10,23578214260,-0.22%
2022-06-09,23631093891,-1.79%
2022-06-08,24062266273,-2.47%
2022-06-07,24672415870,-0.02%
2022-06-06,24678517366,1.12%
2022-06-03,24405983880,-0.34%
2022-06-02,24489370991,0.19%
2022-06-01,24442592855,-0.12%
2022-05-31,24471066503,-0.63%
2022-05-27,24625637734,1.00%
2022-05-26,24381577896,0.88%
2022-05-25,24170059369,-0.27%
2022-05-24,24235141992,2.02%
2022-05-23,23755157643,-0.15%
2022-05-20,23791766619,1.13%
2022-05-19,23525334628,-0.69%
2022-05-18,23688041187,-1.56%
2022-05-17,24062266273,0.44%
2022-05-16,23956507010,0.53%
2022-05-13,23830409426,0.86%
2022-05-12,23627026227,-1.32%
2022-05-11,23942270186,1.21%
2022-05-10,23655499875,-2.47%
2022-05-09,24255480312,-0.01%
2022-05-06,24257514144,0.82%
2022-05-05,24060232441,-0.30%
2022-05-04,24133450393,0.96%
2022-05-03,23903627378,-0.43%
2022-05-02,24007352809,-0.68%
2022-04-29,24172093201,-2.84%
2022-04-28,24877832901,1.36%
2022-04-27,24544284455,0.02%
2022-04-26,24540216791,-1.29%
2022-04-25,24861562245,-0.89%
2022-04-22,25085283764,-1.59%
2022-04-21,25490016330,-0.41%
2022-04-20,25593741762,1.04%
2022-04-19,25331377435,0.09%
2022-04-18,25309005283,0.19%
2022-04-14,25260193315,0.67%
2022-04-13,25091385260,0.05%
2022-04-12,25079182268,1.25%
2022-04-11,24770039806,-1.24%
2022-04-08,25081216100,0.27%
2022-04-07,25014099645,-0.49%
2022-04-06,25138163396,1.89%
2022-04-05,24672415870,1.59%
2022-04-04,24285987792,-0.57%
2022-04-01,24424288367,2.86%
2022-03-31,23744988483,-0.03%
2022-03-30,23752522221,0.58%
2022-03-29,23616549990,0.89%
2022-03-28,23407518053,0.44%
2022-03-25,23304016803,1.86%
2022-03-24,22877835184,1.70%
2022-03-23,22496301163,1.07%
2022-03-22,22258857119,-0.98%
2022-03-21,22480065673,1.21%
2022-03-18,22212180084,-0.85%
2022-03-17,22402947094,-0.12%
2022-03-16,22429329766,-0.66%
2022-03-15,22577478615,0.89%
2022-03-14,22378593859,1.40%
2022-03-11,22070119545,-0.24%
2022-03-10,22122884888,0.95%
2022-03-09,21913852951,-1.29%
2022-03-08,22200003466,-2.21%
2022-03-07,22701274228,-0.34%
2022-03-04,22778392806,2.63%
2022-03-03,22193915158,2.57%
2022-03-02,21637849617,2.66%
2022-03-01,21077725204,-1.28%
2022-02-28,21351699101,-0.35%
2022-02-25,21426788244,3.19%
2022-02-24,20765192016,-2.31%
2022-02-23,21256315596,0.22%
2022-02-22,21209638562,-0.11%
2022-02-18,21231962361,-0.31%
2022-02-17,21298933758,0.95%
2022-02-16,21098019566,0.51%
2022-02-15,20990459444,-1.02%
2022-02-14,21207609126,-1.25%
2022-02-11,21475494714,-0.59%
2022-02-10,21603349200,-4.50%
2022-02-09,22622126213,1.35%
2022-02-08,22319740207,0.29%
2022-02-07,22254798246,-1.12%
2022-02-04,22506448345,-0.96%
2022-02-03,22723598027,-0.04%
2022-02-02,22731715772,1.82%
2022-02-01,22325828516,-1.57%
2022-01-31,22683009301,0.55%
2022-01-28,22559213688,1.43%
2022-01-27,22240592192,2.15%
2022-01-26,21771792411,-0.36%
2022-01-25,21850940426,-0.48%
2022-01-24,21956471113,-1.12%
2022-01-21,22206091775,-0.52%
2022-01-20,22321769643,-0.33%
2022-01-19,22394829349,0.46%
2022-01-18,22291328099,-1.11%
