Date,Market Cap,% Change
2023-04-24,4336231000,0.20%
2023-04-21,4327448760,0.13%
2023-04-20,4321959860,-0.68%
2023-04-19,4351599920,1.54%
2023-04-18,4285733120,-0.61%
2023-04-17,4312079840,1.58%
2023-04-14,4245115260,-0.77%
2023-04-13,4278048660,-0.28%
2023-04-12,4290124240,-0.74%
2023-04-11,4321959860,0.90%
2023-04-10,4283537560,-0.31%
2023-04-06,4296710920,0.82%
2023-04-05,4261581960,1.86%
2023-04-04,4183639580,0.26%
2023-04-03,4172661780,-1.02%
2023-03-31,4215475200,0.73%
2023-03-30,4184737359,0.21%
2023-03-29,4175955120,0.56%
2023-03-28,4152901740,0.80%
2023-03-27,4119968340,1.51%
2023-03-24,4058492660,2.35%
2023-03-23,3965181359,-1.77%
2023-03-22,4036537060,-3.13%
2023-03-21,4167172880,-0.26%
2023-03-20,4178150680,1.30%
2023-03-17,4124359460,-0.84%
2023-03-16,4159488420,1.55%
2023-03-15,4095817180,-0.43%
2023-03-14,4113381660,3.39%
2023-03-13,3978354720,-2.92%
2023-03-10,4098012740,-4.50%
2023-03-09,4291222020,-0.86%
2023-03-08,4328546540,1.13%
2023-03-07,4280244220,-1.47%
2023-03-06,4343915460,-1.12%
2023-03-03,4393315560,-0.17%
2023-03-02,4401000020,1.42%
2023-03-01,4339524340,-2.27%
2023-02-28,4440520100,0.10%
2023-02-27,4436128980,-0.22%
2023-02-24,4446009000,-1.63%
2023-02-23,4519560260,-0.22%
2023-02-22,4529440280,-1.13%
2023-02-21,4581035940,-1.35%
2023-02-17,4643609400,2.22%
2023-02-16,4542613640,-0.48%
2023-02-15,4564569240,-0.45%
2023-02-14,4585427060,-2.91%
2023-02-13,4722649560,1.44%
2023-02-10,4655684980,1.48%
2023-02-09,4587622620,-2.75%
2023-02-08,4717160660,-1.10%
2023-02-07,4769854100,0.49%
2023-02-06,4746800720,-0.28%
2023-02-03,4759974080,-0.14%
2023-02-02,4766560760,0.88%
2023-02-01,4724845120,1.82%
2023-01-31,4640316060,1.93%
2023-01-30,4552493660,-0.41%
2023-01-27,4571155920,0.39%
2023-01-26,4553591440,-0.26%
2023-01-25,4565667020,0.29%
2023-01-24,4552493660,0.56%
2023-01-23,4527244720,0.61%
2023-01-20,4499800220,-0.12%
2023-01-19,4505289120,-0.65%
2023-01-18,4534929180,-1.38%
2023-01-17,4598600420,-1.30%
2023-01-13,4658978320,0.28%
2023-01-12,4645804960,0.31%
2023-01-11,4631533820,0.64%
2023-01-10,4601893760,-1.25%
2023-01-09,4660076100,-0.45%
2023-01-06,4680933920,1.91%
2023-01-05,4593111520,-2.17%
2023-01-04,4695205060,1.98%
2023-01-03,4604089320,0.50%
2022-12-30,4581361350,-0.92%
2022-12-29,4624055040,0.98%
2022-12-28,4579171930,-0.88%
2022-12-27,4619676200,1.25%
2022-12-23,4562751280,1.19%
2022-12-22,4509110490,-0.56%
2022-12-21,4534288820,2.20%
2022-12-20,4436859630,1.10%
2022-12-19,4388692390,-0.32%
2022-12-16,4402923620,-0.57%
2022-12-15,4428101950,-1.49%
2022-12-14,4494879260,-0.51%
2022-12-13,4517868170,-0.48%
2022-12-12,4539762370,1.22%
2022-12-09,4485026870,-0.02%
2022-12-08,4486121580,0.94%
2022-12-07,4444522600,
2022-12-06,4444522600,-0.22%
2022-12-05,4454374990,-1.55%
