Date,Market Cap,% Change
2023-04-24,1379076890,-0.65%
2023-04-21,1388051360,0.75%
2023-04-20,1377669130,-0.09%
2023-04-19,1378900920,1.33%
2023-04-18,1360776010,-1.87%
2023-04-17,1386643600,-0.16%
2023-04-14,1388931210,-1.99%
2023-04-13,1417086410,0.30%
2023-04-12,1412863130,-1.28%
2023-04-11,1431164010,1.50%
2023-04-10,1410047610,-1.00%
2023-04-06,1424301180,1.76%
2023-04-05,1399665380,0.88%
2023-04-04,1387523450,0.57%
2023-04-03,1379604800,0.36%
2023-03-31,1374677640,0.53%
2023-03-30,1367462870,0.10%
2023-03-29,1366055110,0.49%
2023-03-28,1359368250,1.42%
2023-03-27,1340363490,-1.73%
2023-03-24,1363943470,4.05%
2023-03-23,1310800530,0.73%
2023-03-22,1301298150,-1.37%
2023-03-21,1319423060,-1.85%
2023-03-20,1344234830,0.24%
2023-03-17,1341067370,-0.79%
2023-03-16,1351801539,1.44%
2023-03-15,1332620810,0.60%
2023-03-14,1324702160,2.56%
2023-03-13,1291619800,0.56%
2023-03-10,1284405030,-2.07%
2023-03-09,1311504410,-1.53%
2023-03-08,1331916930,1.12%
2023-03-07,1317135450,0.23%
2023-03-06,1314143960,-1.65%
2023-03-03,1336140210,-1.08%
2023-03-02,1350745720,0.14%
2023-03-01,1348810050,0.20%
2023-02-28,1346170500,-3.35%
2023-02-27,1392802550,-4.88%
2023-02-24,1464246370,-1.28%
2023-02-23,1483251130,-0.96%
2023-02-22,1497680670,-0.29%
2023-02-21,1502079920,-0.94%
2023-02-17,1516333490,2.00%
2023-02-16,1486594560,-1.38%
2023-02-15,1507359020,0.36%
2023-02-14,1501903950,-0.32%
2023-02-13,1506655140,0.74%
2023-02-10,1495569030,0.59%
2023-02-09,1486770530,-1.86%
2023-02-08,1514925730,-3.12%
2023-02-07,1563669420,-1.37%
2023-02-06,1585313730,0.60%
2023-02-03,1575811350,0.70%
2023-02-02,1564901210,2.95%
2023-02-01,1520028860,3.01%
2023-01-31,1475684420,1.05%
2023-01-30,1460375030,-3.42%
2023-01-27,1512110210,-0.15%
2023-01-26,1514397820,0.56%
2023-01-25,1505951260,3.22%
2023-01-24,1458967270,0.83%
2023-01-23,1447001310,1.97%
2023-01-20,1419022080,1.03%
2023-01-19,1404592539,-1.19%
2023-01-18,1421485660,-0.65%
2023-01-17,1430812070,-0.61%
2023-01-13,1439610570,0.59%
2023-01-12,1431164010,-0.61%
2023-01-11,1439962510,0.74%
2023-01-10,1429404310,1.55%
2023-01-09,1407584030,-0.04%
2023-01-06,1408111940,3.09%
2023-01-05,1365879140,-4.85%
2023-01-04,1435563260,1.87%
