Date,Market Cap,% Change
2023-04-24,8575000000,1.74%
2023-04-21,8428000000,-0.49%
2023-04-20,8469650000,-0.77%
2023-04-19,8535800000,0.52%
2023-04-18,8491699999,-1.28%
2023-04-17,8601950000,-0.28%
2023-04-14,8626450000,-1.95%
2023-04-13,8797950000,0.42%
2023-04-12,8761200000,0.22%
2023-04-11,8741600000,1.42%
2023-04-10,8619100000,1.03%
2023-04-06,8530900000,1.19%
2023-04-05,8430449999,2.56%
2023-04-04,8219749999,-0.94%
2023-04-03,8298149999,-1.22%
2023-03-31,8401050000,2.51%
2023-03-30,8195250000,0.81%
2023-03-29,8129100000,1.65%
2023-03-28,7996800000,1.18%
2023-03-27,7903699999,2.45%
2023-03-24,7715050000,1.55%
2023-03-23,7597450000,-2.97%
2023-03-22,7830200000,-3.71%
2023-03-21,8131549999,-1.31%
2023-03-20,8239350000,6.83%
2023-03-17,7712600000,-0.41%
2023-03-16,7744450000,2.56%
2023-03-15,7550900000,-2.41%
2023-03-14,7737100000,2.27%
2023-03-13,7565600000,-2.37%
2023-03-10,7749350000,-4.18%
2023-03-09,8087449999,-2.71%
2023-03-08,8312850000,-1.02%
2023-03-07,8398600000,-0.29%
2023-03-06,8423100000,2.20%
2023-03-03,8241800000,2.72%
2023-03-02,8023750000,-0.82%
2023-03-01,8089900000,0.70%
2023-02-28,8033550000,-0.70%
2023-02-27,8089900000,-1.73%
2023-02-24,8232000000,0.27%
2023-02-23,8209949999,1.09%
2023-02-22,8121750000,-2.67%
2023-02-21,8344700000,-0.47%
2023-02-17,8383900000,0.41%
2023-02-16,8349600000,-4.88%
2023-02-15,8778350000,2.08%
2023-02-14,8599500000,-1.29%
2023-02-13,8712200000,2.01%
2023-02-10,8540700000,1.37%
2023-02-09,8425550000,-1.15%
2023-02-08,8523550000,-0.63%
2023-02-07,8577449999,0.95%
2023-02-06,8496600000,0.73%
2023-02-03,8435350000,-1.49%
2023-02-02,8562750000,1.01%
2023-02-01,8477000000,1.11%
2023-01-31,8383900000,2.00%
2023-01-30,8219749999,-0.59%
2023-01-27,8268750000,0.78%
2023-01-26,8205050000,1.03%
2023-01-25,8121750000,0.76%
2023-01-24,8060500000,1.48%
2023-01-23,7942900000,0.65%
2023-01-20,7891450000,3.80%
2023-01-19,7602350000,-1.90%
