Date,Market Cap,% Change
2023-04-25,7571564000,-0.29%
2023-04-24,7593586000,0.82%
2023-04-21,7531523999,0.59%
2023-04-20,7487480000,-0.53%
2023-04-19,7527520000,0.97%
2023-04-18,7455448000,-1.64%
2023-04-17,7579572000,-0.21%
2023-04-14,7595588000,-0.52%
2023-04-13,7635628000,-1.19%
2023-04-12,7727720000,0.18%
2023-04-11,7713706000,-0.31%
2023-04-10,7737730000,0.42%
2023-04-06,7705698000,-1.21%
2023-04-05,7799792000,3.78%
2023-04-04,7515508000,0.83%
2023-04-03,7453445999,-1.14%
2023-03-31,7539531999,1.15%
2023-03-30,7453445999,0.65%
2023-03-29,7405398000,2.18%
2023-03-28,7247240000,1.09%
2023-03-27,7169162000,0.39%
2023-03-24,7141134000,3.51%
2023-03-23,6898892000,-1.94%
2023-03-22,7035028000,-2.47%
2023-03-21,7213206000,-1.37%
2023-03-20,7313306000,2.38%
2023-03-17,7143136000,-1.22%
2023-03-16,7231223999,1.18%
2023-03-15,7147140000,1.05%
2023-03-14,7073066000,2.02%
2023-03-13,6932926000,0.67%
2023-03-10,6886880000,-1.91%
2023-03-09,7021014000,-1.71%
2023-03-08,7143136000,1.08%
2023-03-07,7067059999,-1.51%
2023-03-06,7175168000,0.11%
2023-03-03,7167159999,0.53%
2023-03-02,7129122000,1.34%
2023-03-01,7035028000,-1.62%
2023-02-28,7151144000,-2.32%
2023-02-27,7321314000,-1.24%
2023-02-24,7413406000,-0.64%
2023-02-23,7461454000,-1.11%
2023-02-22,7545538000,-0.16%
2023-02-21,7557550000,-1.72%
2023-02-17,7689681999,1.03%
2023-02-16,7611604000,-0.86%
2023-02-15,7677670000,-0.03%
2023-02-14,7679672000,-1.18%
2023-02-13,7771764000,0.88%
2023-02-10,7703695999,1.58%
2023-02-09,7583576000,-1.28%
2023-02-08,7681673999,-1.92%
2023-02-07,7831823999,0.41%
2023-02-06,7799792000,0.41%
2023-02-03,7767759999,-2.59%
2023-02-02,7973966000,
2023-02-01,7973966000,1.30%
2023-01-31,7871864000,0.74%
2023-01-30,7813806000,-0.51%
2023-01-27,7853845999,
2023-01-26,7853845999,0.51%
2023-01-25,7813806000,0.28%
2023-01-24,7791784000,1.43%
2023-01-23,7681673999,0.03%
2023-01-20,7679672000,1.00%
2023-01-19,7603595999,-1.99%
2023-01-18,7757750000,-2.00%
2023-01-17,7915908000,-1.00%
2023-01-13,7995988000,-0.70%
2023-01-12,8052044000,0.12%
2023-01-11,8042034000,1.11%
2023-01-10,7953945999,-0.30%
2023-01-09,7977970000,1.76%
2023-01-06,7839831999,1.14%
2023-01-05,7751744000,-2.12%
2023-01-04,7919912000,0.13%
2023-01-03,7909902000,-0.05%
2022-12-30,7913954999,-1.67%
2022-12-29,8048022000,0.83%
2022-12-28,7981989000,-0.97%
2022-12-27,8060028000,0.65%
2022-12-23,8008002000,1.14%
2022-12-22,7917957000,-0.80%
2022-12-21,7981989000,2.23%
2022-12-20,7807902000,-0.20%
2022-12-19,7823910000,-1.01%
2022-12-16,7903950000,-1.20%
2022-12-15,7999997999,-1.36%
2022-12-14,8110053000,1.02%
2022-12-13,8028011999,-0.22%
2022-12-12,8046021000,0.65%
2022-12-09,7993995000,-0.20%
2022-12-08,8010003000,1.37%
2022-12-07,7901949000,-1.03%
2022-12-06,7983990000,1.01%
2022-12-05,7903950000,-0.35%
2022-12-02,7931964000,-0.55%
2022-12-01,7975986000,-1.48%
2022-11-30,8096046000,1.91%
2022-11-29,7943970000,-0.13%
2022-11-28,7953975000,-0.58%
2022-11-25,7999997999,0.73%
2022-11-23,7941969000,0.35%
2022-11-22,7913954999,1.23%
2022-11-21,7817907000,-0.43%
2022-11-18,7851924000,2.13%
2022-11-17,7687842000,-0.90%
2022-11-16,7757877000,1.33%
2022-11-15,7655826000,0.37%
2022-11-14,7627811999,-0.73%
2022-11-11,7683840000,-0.41%
2022-11-10,7715856000,3.91%
2022-11-09,7425711000,-0.38%
2022-11-08,7453725000,1.47%
2022-11-07,7345671000,-2.21%
2022-11-04,7511754000,1.27%
2022-11-03,7417707000,1.78%
2022-11-02,7287642000,-1.35%
2022-11-01,7387692000,0.79%
2022-10-31,7329663000,-0.76%
2022-10-28,7385690999,2.53%
2022-10-27,7203600000,0.14%
2022-10-26,7193595000,-0.03%
2022-10-25,7195596000,2.65%
2022-10-24,7009503000,0.17%
2022-10-21,6997497000,1.78%
2022-10-20,6875436000,-1.32%
2022-10-19,6967482000,-0.88%
2022-10-18,7029513000,1.56%
2022-10-17,6921459000,2.46%
2022-10-14,6755376000,-2.14%
2022-10-13,6903450000,1.53%
2022-10-12,6799397999,-2.16%
2022-10-11,6949472999,-0.29%
2022-10-10,6969483000,1.13%
2022-10-07,6891444000,-4.09%
2022-10-06,7185590999,-4.16%
2022-10-05,7497747000,-2.35%
2022-10-04,7677836999,2.65%
2022-10-03,7479738000,2.52%
2022-09-30,7295646000,-2.61%
2022-09-29,7491484000,-3.63%
2022-09-28,7773766000,1.78%
2022-09-27,7637630000,-2.08%
2022-09-26,7799792000,-2.40%
2022-09-23,7991984000,-1.72%
2022-09-22,8132123999,-0.07%
2022-09-21,8138130000,-0.90%
2022-09-20,8212204000,-1.16%
2022-09-19,8308300000,1.44%
2022-09-16,8190181999,0.02%
2022-09-15,8188180000,-2.08%
2022-09-14,8362354000,1.48%
2022-09-13,8240231999,-2.16%
2022-09-12,8422414000,0.53%
2022-09-09,8378370000,0.87%
2022-09-08,8306298000,-0.10%
2022-09-07,8314306000,2.72%
2022-09-06,8094086000,-0.57%
2022-09-02,8140131999,-0.85%
2022-09-01,8210202000,1.16%
2022-08-31,8116108000,-0.54%
2022-08-30,8160152000,-1.95%
2022-08-29,8322314000,0.17%
2022-08-26,8308300000,-1.45%
2022-08-25,8430422000,0.65%
2022-08-24,8376368000,-0.31%
2022-08-23,8402394000,-0.55%
2022-08-22,8448440000,-1.36%
2022-08-19,8564556000,0.14%
2022-08-18,8552544000,0.64%
2022-08-17,8498490000,-0.38%
2022-08-16,8530522000,-0.12%
2022-08-15,8540531999,1.67%
2022-08-12,8400392000,2.09%
2022-08-11,8228220000,0.05%
2022-08-10,8224216000,0.15%
2022-08-09,8212204000,1.36%
2022-08-08,8102094000,0.55%
2022-08-05,8058050000,0.30%
2022-08-04,8034026000,-1.33%
2022-08-03,8142134000,0.44%
2022-08-02,8106098000,-1.22%
2022-08-01,8206198000,-0.22%
2022-07-29,8224216000,1.33%
2022-07-28,8116108000,2.68%
2022-07-27,7903895999,0.15%
2022-07-26,7891884000,1.23%
2022-07-25,7795788000,0.99%
2022-07-22,7719712000,0.68%
2022-07-21,7667659999,-0.03%
2022-07-20,7669662000,-2.79%
2022-07-19,7889881999,0.84%
2022-07-18,7823816000,-0.43%
2022-07-15,7857850000,0.93%
2022-07-14,7785778000,0.88%
2022-07-13,7717709999,-0.13%
2022-07-12,7727720000,0.16%
2022-07-11,7715708000,1.42%
2022-07-08,7607600000,-1.27%
2022-07-07,7705698000,-0.85%
2022-07-06,7771764000,0.21%
2022-07-05,7755748000,-3.25%
2022-07-01,8016008000,3.84%
2022-06-30,7719712000,1.07%
2022-06-29,7637630000,-0.13%
2022-06-28,7647640000,0.03%
2022-06-27,7645638000,1.54%
2022-06-24,7529522000,2.20%
2022-06-23,7367359999,2.42%
2022-06-22,7193186000,1.87%
2022-06-21,7061054000,0.74%
2022-06-17,7009002000,-0.54%
2022-06-16,7047040000,-2.87%
2022-06-15,7255248000,0.19%
2022-06-14,7241234000,-2.35%
2022-06-13,7415408000,-5.53%
2022-06-10,7849842000,-0.41%
2022-06-09,7881873999,-2.72%
2022-06-08,8102094000,-1.89%
2022-06-07,8258250000,0.27%
2022-06-06,8236228000,0.34%
2022-06-03,8208200000,-0.27%
2022-06-02,8230222000,0.19%
2022-06-01,8214206000,-0.65%
2022-05-31,8268259999,-0.43%
2022-05-27,8304295999,1.15%
2022-05-26,8210202000,0.22%
2022-05-25,8192184000,0.71%
2022-05-24,8134126000,1.07%
2022-05-23,8048040000,0.83%
2022-05-20,7981973999,0.20%
2022-05-19,7965958000,-0.33%
2022-05-18,7991984000,-0.55%
2022-05-17,8036028000,1.83%
2022-05-16,7891884000,0.36%
2022-05-13,7863856000,1.00%
2022-05-12,7785778000,-0.61%
2022-05-11,7833826000,1.01%
2022-05-10,7755748000,-1.17%
2022-05-09,7847840000,-0.33%
2022-05-06,7873866000,-0.03%
2022-05-05,7875868000,-0.86%
2022-05-04,7943936000,2.53%
2022-05-03,7747740000,0.57%
2022-05-02,7703695999,-0.52%
2022-04-29,7743736000,-3.54%
2022-04-28,8028020000,-0.99%
2022-04-27,8108100000,-0.05%
2022-04-26,8112104000,-1.34%
2022-04-25,8222214000,-1.27%
2022-04-22,8328320000,-1.61%
2022-04-21,8464456000,-0.12%
2022-04-20,8474466000,1.49%
2022-04-19,8350342000,
2022-04-18,8350342000,0.19%
2022-04-14,8334326000,0.12%
2022-04-13,8324316000,0.14%
2022-04-12,8312304000,0.56%
2022-04-11,8266258000,-0.31%
2022-04-08,8292284000,-1.22%
2022-04-07,8394386000,-0.69%
2022-04-06,8452444000,2.25%
2022-04-05,8266258000,0.66%
2022-04-04,8212204000,-0.63%
2022-04-01,8264256000,1.23%
2022-03-31,8164156000,0.82%
2022-03-30,8098090000,-0.07%
2022-03-29,8104095999,1.61%
2022-03-28,7975968000,-0.15%
2022-03-25,7987980000,2.31%
2022-03-24,7807800000,0.65%
2022-03-23,7757750000,-0.33%
2022-03-22,7783776000,-0.10%
2022-03-21,7791784000,1.33%
2022-03-18,7689681999,-0.21%
2022-03-17,7705698000,-0.70%
2022-03-16,7759752000,0.16%
2022-03-15,7747740000,0.47%
2022-03-14,7711704000,-0.44%
2022-03-11,7745738000,-0.46%
2022-03-10,7781773999,0.21%
2022-03-09,7765758000,-0.18%
2022-03-08,7779772000,-1.20%
2022-03-07,7873866000,-1.21%
2022-03-04,7969962000,1.66%
2022-03-03,7839831999,2.54%
2022-03-02,7645638000,1.81%
2022-03-01,7509502000,-0.11%
2022-02-28,7517509999,1.00%
2022-02-25,7443436000,2.45%
2022-02-24,7265258000,2.43%
2022-02-23,7093086000,-1.42%
2022-02-22,7195188000,0.53%
2022-02-18,7157150000,-0.58%
2022-02-17,7199192000,0.50%
2022-02-16,7163156000,-0.06%
2022-02-15,7167159999,-1.57%
2022-02-14,7281273999,-0.98%
2022-02-11,7353345999,-0.49%
2022-02-10,7389381999,-2.41%
2022-02-09,7571564000,0.11%
2022-02-08,7563556000,0.24%
2022-02-07,7545538000,-0.16%
2022-02-04,7557550000,-1.41%
2022-02-03,7665658000,0.50%
2022-02-02,7627620000,1.01%
2022-02-01,7551544000,-0.53%
2022-01-31,7591584000,0.21%
2022-01-28,7575568000,1.47%
2022-01-27,7465458000,0.38%
2022-01-26,7437430000,0.32%
2022-01-25,7413406000,-0.19%
2022-01-24,7427420000,-0.56%
2022-01-21,7469462000,-0.35%
2022-01-20,7495488000,-0.85%
2022-01-19,7559552000,0.08%
2022-01-18,7553545999,-0.71%
2022-01-14,7607600000,1.14%
2022-01-13,7521514000,0.80%
2022-01-12,7461454000,0.03%
2022-01-11,7459452000,-0.75%
2022-01-10,7515508000,0.03%
2022-01-07,7513506000,-0.56%
2022-01-06,7555548000,-0.08%
2022-01-05,7561554000,-0.29%
2022-01-04,7583576000,-0.26%
2022-01-03,7603595999,-1.04%
2021-12-31,7683676000,0.34%
2021-12-30,7657650000,0.34%
2021-12-29,7631623999,0.77%
2021-12-28,7573566000,0.85%
2021-12-27,7509502000,0.81%
2021-12-23,7449442000,0.03%
2021-12-22,7447440000,0.59%
2021-12-21,7403395999,0.19%
2021-12-20,7389381999,0.14%
2021-12-17,7379372000,-0.49%
2021-12-16,7415408000,
2021-12-15,7415408000,2.01%
2021-12-14,7269262000,-0.06%
2021-12-13,7273266000,1.11%
2021-12-10,7193186000,0.28%
2021-12-09,7173166000,-0.67%
2021-12-08,7221214000,0.06%
2021-12-07,7217209999,-1.64%
2021-12-06,7337330000,1.98%
2021-12-03,7195188000,2.13%
2021-12-02,7045038000,1.94%
2021-12-01,6910904000,0.58%
2021-11-30,6870864000,-2.22%
2021-11-29,7027020000,1.56%
2021-11-26,6918912000,-2.37%
2021-11-24,7087080000,-0.14%
2021-11-23,7097090000,0.06%
2021-11-22,7093086000,0.91%
2021-11-19,7029022000,1.36%
2021-11-18,6934928000,-0.57%
2021-11-17,6974968000,0.09%
2021-11-16,6968962000,-0.40%
2021-11-15,6996990000,1.48%
2021-11-12,6894888000,0.17%
2021-11-11,6882876000,0.20%
2021-11-10,6868862000,0.59%
2021-11-09,6828822000,0.32%
2021-11-08,6806800000,-1.73%
2021-11-05,6926920000,1.29%
2021-11-04,6838831999,-1.24%
2021-11-03,6924918000,0.32%
2021-11-02,6902895999,-0.55%
2021-11-01,6940934000,1.76%
2021-10-29,6820814000,
2021-10-28,6820814000,0.06%
2021-10-27,6816809999,-0.61%
2021-10-26,6858852000,0.03%
2021-10-25,6856850000,0.09%
2021-10-22,6850844000,1.24%
2021-10-21,6766759999,-0.68%
2021-10-20,6812806000,1.28%
2021-10-19,6726720000,0.63%
2021-10-18,6684678000,-1.07%
2021-10-15,6756750000,
2021-10-14,6756750000,2.15%
2021-10-13,6614608000,1.07%
2021-10-12,6544538000,-0.21%
2021-10-11,6558552000,-0.91%
2021-10-08,6618612000,-1.58%
2021-10-07,6724718000,-0.27%
2021-10-06,6742736000,0.84%
2021-10-05,6686680000,-0.71%
2021-10-04,6734728000,1.94%
2021-10-01,6606600000,0.12%
2021-09-30,6598592000,-1.70%
2021-09-29,6712706000,1.79%
2021-09-28,6594588000,-1.41%
2021-09-27,6688681999,-0.77%
2021-09-24,6740734000,-0.12%
2021-09-23,6748742000,0.48%
2021-09-22,6716709999,0.93%
2021-09-21,6654648000,-0.95%
2021-09-20,6718712000,-0.53%
2021-09-17,6754748000,-1.03%
2021-09-16,6824818000,-1.81%
2021-09-15,6950944000,0.14%
2021-09-14,6940934000,-1.37%
2021-09-13,7037030000,0.17%
2021-09-10,7025018000,-1.15%
2021-09-09,7107100000,-0.59%
2021-09-08,7149142000,1.36%
2021-09-07,7053045999,-1.23%
2021-09-03,7141134000,-0.81%
2021-09-02,7199192000,0.64%
2021-09-01,7153145999,0.90%
2021-08-31,7089081999,-0.23%
2021-08-30,7105098000,-0.22%
2021-08-27,7121114000,0.20%
2021-08-26,7107100000,-0.53%
2021-08-25,7145138000,0.71%
2021-08-24,7095088000,-0.20%
2021-08-23,7109102000,-1.03%
2021-08-20,7183176000,1.38%
2021-08-19,7085078000,-0.76%
2021-08-18,7139131999,-0.81%
2021-08-17,7197190000,0.14%
2021-08-16,7187180000,-1.07%
2021-08-13,7265258000,0.61%
2021-08-12,7221214000,1.21%
2021-08-11,7135128000,1.19%
2021-08-10,7051044000,0.03%
2021-08-09,7049042000,0.49%
2021-08-06,7015008000,1.65%
2021-08-05,6900894000,1.09%
2021-08-04,6826820000,-0.70%
2021-08-03,6874868000,0.82%
2021-08-02,6818812000,0.92%
2021-07-30,6756750000,-0.85%
2021-07-29,6814808000,0.24%
2021-07-28,6798792000,-0.76%
2021-07-27,6850844000,1.45%
2021-07-26,6752745999,0.30%
2021-07-23,6732726000,1.26%
2021-07-22,6648642000,-0.72%
2021-07-21,6696690000,-1.30%
2021-07-20,6784778000,1.71%
2021-07-19,6670664000,-2.66%
2021-07-16,6852845999,0.68%
2021-07-15,6806800000,1.58%
2021-07-14,6700694000,0.51%
2021-07-13,6666659999,-1.91%
2021-07-12,6796790000,0.06%
2021-07-09,6792786000,-0.12%
2021-07-08,6800794000,-0.38%
2021-07-07,6826820000,0.38%
2021-07-06,6800794000,-0.76%
2021-07-02,6852845999,0.74%
2021-07-01,6802795999,0.98%
2021-06-30,6736730000,-0.09%
2021-06-29,6742736000,-1.43%
2021-06-28,6840834000,-0.61%
2021-06-25,6882876000,1.81%
2021-06-24,6760754000,-0.18%
2021-06-23,6772766000,-0.59%
2021-06-22,6812806000,-0.84%
2021-06-21,6870864000,2.66%
2021-06-18,6692686000,-3.16%
2021-06-17,6910904000,-0.75%
2021-06-16,6962956000,-1.17%
2021-06-15,7045038000,-0.20%
2021-06-14,7059052000,-0.54%
2021-06-11,7097090000,1.61%
2021-06-10,6984978000,1.19%
2021-06-09,6902895999,1.29%
2021-06-08,6814808000,-0.56%
2021-06-07,6852845999,-0.29%
2021-06-04,6872866000,0.26%
2021-06-03,6854848000,0.59%
2021-06-02,6814808000,-0.61%
2021-06-01,6856850000,-0.72%
2021-05-28,6906900000,-0.20%
2021-05-27,6920914000,0.61%
2021-05-26,6878872000,1.87%
2021-05-25,6752745999,-0.53%
2021-05-24,6788781999,0.62%
2021-05-21,6746740000,0.36%
2021-05-20,6722716000,
2021-05-19,6722716000,0.15%
2021-05-18,6712706000,-0.77%
2021-05-17,6764758000,-1.77%
2021-05-14,6886880000,1.65%
2021-05-13,6774768000,2.76%
2021-05-12,6592586000,-1.47%
2021-05-11,6690684000,-1.94%
2021-05-10,6822816000,0.44%
2021-05-07,6792786000,-0.26%
2021-05-06,6810804000,1.80%
2021-05-05,6690684000,0.03%
2021-05-04,6688681999,-0.24%
2021-05-03,6704698000,-0.21%
2021-04-30,6718712000,-0.47%
2021-04-29,6750744000,1.57%
2021-04-28,6646640000,1.75%
2021-04-27,6532526000,-1.24%
2021-04-26,6614608000,0.27%
2021-04-23,6596590000,0.03%
2021-04-22,6594588000,-1.02%
2021-04-21,6662656000,-1.07%
2021-04-20,6734728000,0.24%
2021-04-19,6718712000,0.27%
2021-04-16,6700694000,0.21%
2021-04-15,6686680000,1.64%
2021-04-14,6578572000,0.70%
