Date,Market Cap,% Change
2023-04-24,239372545,-8.30%
2023-04-21,261035219,-1.23%
2023-04-20,264284620,-12.36%
2023-04-19,301544419,-24.68%
2023-04-18,400326211,-7.14%
2023-04-17,431087208,-0.50%
2023-04-14,433253476,3590.04%
2023-04-13,11741169,-1.45%
2023-04-12,11914470,2.52%
2023-04-11,11622024,-0.28%
2023-04-10,11654518,-8.03%
2023-04-06,12672664,-3.62%
2023-04-05,13149242,-2.65%
2023-04-04,13506677,-10.55%
2023-04-03,15098883,-4.46%
2023-03-31,15802920,9.04%
2023-03-30,14492328,11.50%
2023-03-29,12997604,8.11%
2023-03-28,12022783,-7.50%
2023-03-27,12997604,3.63%
2023-03-24,12542688,-3.58%
2023-03-23,13008435,-1.64%
2023-03-22,13225062,-0.97%
2023-03-21,13355038,10.78%
2023-03-20,12055277,-5.68%
2023-03-17,12780977,-1.67%
2023-03-16,12997604,0.84%
2023-03-15,12889290,-6.30%
2023-03-14,13755797,-0.63%
2023-03-13,13842448,-9.10%
2023-03-10,15228859,-7.19%
2023-03-09,16409475,0.33%
2023-03-08,16355318,-1.95%
2023-03-07,16680258,-3.08%
2023-03-06,17210994,5.93%
2023-03-03,16247005,
2023-03-02,16247005,-1.25%
2023-03-01,16452800,-4.71%
2023-02-28,17265151,5.08%
2023-02-27,16431138,2.09%
2023-02-24,16095366,-7.12%
2023-02-23,17330139,-3.38%
2023-02-22,17936693,2.54%
2023-02-21,17492609,-7.82%
2023-02-17,18976502,-3.84%
2023-02-16,19734695,-0.55%
2023-02-15,19843009,8.85%
2023-02-14,18229140,-0.30%
2023-02-13,18283296,1.69%
2023-02-10,17980019,0.30%
2023-02-09,17925862,-8.26%
2023-02-08,19539731,-4.40%
2023-02-07,20438732,-0.16%
2023-02-06,20471226,-0.89%
2023-02-03,20655359,0.90%
2023-02-02,20471226,-2.78%
2023-02-01,21056118,0.21%
2023-01-31,21012793,4.75%
2023-01-30,20059635,-2.58%
2023-01-27,20590371,-0.99%
2023-01-26,20796166,1.05%
2023-01-25,20579540,11.31%
2023-01-24,18489092,-11.60%
2023-01-23,20915311,-2.96%
2023-01-20,21554360,4.74%
2023-01-19,20579540,-10.00%
2023-01-18,22864952,-4.05%
2023-01-17,23828941,-0.99%
2023-01-13,24067230,0.14%
2023-01-12,24034736,5.67%
2023-01-11,22745807,5.00%
2023-01-10,21662673,-1.04%
2023-01-09,21890131,-4.98%
2023-01-06,23038253,6.35%
2023-01-05,21662673,-3.85%
2023-01-04,22529180,9.07%
2023-01-03,20655359,-3.20%
2022-12-30,21337733,19.03%
2022-12-29,17925862,5.01%
2022-12-28,17070186,-1.56%
2022-12-27,17340970,-7.46%
2022-12-23,18738212,1.88%
2022-12-22,18391610,-5.67%
2022-12-21,19496406,2.27%
2022-12-20,19063152,-2.98%
2022-12-19,19648045,-3.51%
2022-12-16,20362913,-1.05%
2022-12-15,20579540,-3.65%
2022-12-14,21359396,-0.75%
2022-12-13,21521866,-0.65%
2022-12-12,21662673,-8.05%
2022-12-09,23558157,9.57%
2022-12-08,21500203,2.85%
2022-12-07,20904480,-2.08%
2022-12-06,21348565,-7.85%
2022-12-05,23168229,-2.82%
2022-12-02,23839772,2.47%
2022-12-01,23265711,15.61%
2022-11-30,20124623,2.20%
2022-11-29,19691370,-4.06%
2022-11-28,20525383,-7.24%
2022-11-25,22128421,2.15%
2022-11-23,21662673,-7.45%
2022-11-22,23406519,-8.43%
2022-11-21,25561955,-3.44%
2022-11-18,26471787,2.26%
2022-11-17,25886895,0.13%
2022-11-16,25854401,-2.65%
2022-11-15,26558438,-0.69%
2022-11-14,26742570,-6.48%
2022-11-11,28594729,5.22%
2022-11-10,27175824,5.69%
2022-11-09,25713593,-3.93%
2022-11-08,26764233,-11.50%
2022-11-07,30241092,-5.71%
2022-11-04,32071588,2.96%
2022-11-03,31150924,-23.41%
2022-11-02,40671670,-2.26%
2022-11-01,41613996,-3.56%
2022-10-31,43152046,-1.39%
2022-10-28,43758601,1.03%
2022-10-27,43314516,-2.20%
2022-10-26,44289336,-0.90%
2022-10-25,44690096,5.82%
2022-10-24,42231382,-2.52%
2022-10-21,43325347,-4.76%
2022-10-20,45491614,4.97%
2022-10-19,43336178,2.67%
2022-10-18,42209719,0.23%
2022-10-17,42112237,2.99%
2022-10-14,40888296,-6.86%
2022-10-13,43899408,-2.10%
2022-10-12,44841734,-1.45%
2022-10-11,45502446,-4.50%
2022-10-10,47647051,-0.97%
2022-10-07,48112798,-3.87%
2022-10-06,50051607,-5.81%
2022-10-05,53138538,-1.86%
2022-10-04,54145853,8.20%
2022-10-03,50040776,-2.74%
2022-09-30,51448850,-5.88%
2022-09-29,54661762,-5.86%
2022-09-28,58061499,-0.63%
2022-09-27,58431539,1.88%
2022-09-26,57356112,-3.41%
2022-09-23,59379765,-2.80%
2022-09-22,61091197,-3.42%
2022-09-21,63253615,-4.52%
2022-09-20,66248622,-2.07%
2022-09-19,67647833,-3.31%
2022-09-16,69960580,-3.97%
2022-09-15,72851513,-1.72%
2022-09-14,74123524,-3.61%
2022-09-13,76898819,-2.78%
2022-09-12,79095928,-3.27%
2022-09-09,81767151,-1.44%
2022-09-08,82958215,4.43%
2022-09-07,79442840,-4.65%
2022-09-06,83316691,5.04%
2022-09-02,79315639,-1.17%
2022-09-01,80252302,-13.25%
2022-08-31,92509858,1.27%
2022-08-30,91353485,-7.71%
2022-08-29,98985548,6.32%
2022-08-26,93099608,-3.81%
2022-08-25,96788439,-0.36%
2022-08-24,97135351,
2022-08-23,97135351,-3.23%
2022-08-22,100373196,4.63%
2022-08-19,95932723,-10.99%
2022-08-18,107773985,-11.24%
2022-08-17,121419189,-4.55%
2022-08-16,127201055,-4.35%
2022-08-15,132982921,7.48%
2022-08-12,123731935,12.63%
2022-08-11,109855456,0.91%
2022-08-10,108860975,8.21%
2022-08-09,100604471,-3.68%
2022-08-08,104443630,22.37%
2022-08-05,85351908,0.26%
2022-08-04,85132197,-0.26%
2022-08-03,85351908,-0.26%
2022-08-02,85571619,12.58%
2022-08-01,76008412,2.22%
2022-07-29,74354798,8.07%
2022-07-28,68804207,13.33%
2022-07-27,60709594,1.74%
2022-07-26,59668858,-3.01%
2022-07-25,61519055,-2.39%
2022-07-22,63022341,-0.55%
2022-07-21,63369253,1.48%
2022-07-20,62444154,-7.69%
2022-07-19,67647833,10.38%
2022-07-18,61287781,
2022-07-15,61287781,0.57%
2022-07-14,60940869,-7.05%
2022-07-13,65566362,-5.50%
2022-07-12,69382393,-4.91%
2022-07-11,72967150,-8.55%
2022-07-08,79789752,0.73%
2022-07-07,79211566,4.90%
2022-07-06,75511171,2.83%
2022-07-05,73429700,1.76%
2022-07-01,72157689,-0.95%
2022-06-30,72851513,22.04%
2022-06-29,59692563,-4.13%
2022-06-28,62267162,-12.58%
2022-06-27,71230582,-2.99%
2022-06-24,73423759,3.77%
2022-06-23,70753804,-1.07%
2022-06-22,71516649,-3.85%
2022-06-21,74377314,1.17%
2022-06-17,73519115,-3.62%
2022-06-16,76284425,-1.23%
2022-06-15,77237980,3.85%
2022-06-14,74377314,0.39%
2022-06-13,74091248,-7.06%
2022-06-10,79717224,-5.96%
2022-06-09,84771067,-7.11%
2022-06-08,91255244,2.35%
2022-06-07,89157422,-3.61%
2022-06-06,92494866,0.10%
2022-06-03,92399510,-4.06%
2022-06-02,96309087,-4.72%
2022-06-01,101076863,-2.75%
2022-05-31,103937529,-0.91%
2022-05-27,104891085,16.40%
2022-05-26,90110977,0.64%
2022-05-25,89538844,-0.11%
2022-05-24,89634200,-3.09%
2022-05-23,92494866,1.46%
2022-05-20,91159888,-3.43%
2022-05-19,94401976,3.13%
2022-05-18,91541310,-8.57%
2022-05-17,100123308,5.00%
2022-05-16,95355532,6.72%
2022-05-13,89348133,6.48%
2022-05-12,83912868,-1.90%
2022-05-11,85533912,-4.68%
2022-05-10,89729555,0.11%
2022-05-09,89634200,-6.93%
2022-05-06,96309087,-4.72%
2022-05-05,101076863,-8.62%
2022-05-04,110612417,1.75%
2022-05-03,108705306,1.79%
2022-05-02,106798195,-5.88%
2022-04-29,113473083,-9.16%
2022-04-28,124915746,-1.50%
2022-04-27,126822857,-3.62%
2022-04-26,131590634,-2.13%
2022-04-25,134451300,1.44%
2022-04-22,132544189,2.21%
2022-04-21,129683523,-6.85%
2022-04-20,139219076,-2.01%
2022-04-19,142079742,2.05%
2022-04-18,139219076,-7.59%
2022-04-14,150661740,-3.66%
2022-04-13,156383072,
2022-04-12,156383072,
2022-04-11,156383072,-0.61%
2022-04-08,157336627,1.85%
2022-04-07,154475961,-2.99%
2022-04-06,159243738,-1.18%
2022-04-05,161150849,-2.87%
2022-04-04,165918625,-1.69%
2022-04-01,168779291,-3.80%
2022-03-31,175454178,27.82%
2022-03-30,137261538,1.64%
2022-03-29,135047642,1.10%
2022-03-28,133571712,-1.09%
2022-03-25,135047642,-1.08%
2022-03-24,136523573,0.54%
2022-03-23,135785607,-0.54%
2022-03-22,136523573,-0.54%
2022-03-21,137261538,4.49%
2022-03-18,131357816,4.71%
2022-03-17,125454094,5.59%
2022-03-16,118812406,7.33%
2022-03-15,110694789,7.91%
2022-03-14,102577171,-10.32%
2022-03-11,114384615,-6.63%
2022-03-10,122502233,-5.14%
2022-03-09,129143920,-2.23%
2022-03-08,132095781,-7.73%
2022-03-07,143165260,31.08%
2022-03-04,109218858,0.68%
2022-03-03,108480893,-2.00%
2022-03-02,110694789,-1.32%
2022-03-01,112170719,-4.40%
2022-02-28,117336476,17.78%
2022-02-25,99625310,-4.26%
2022-02-24,104053101,14.63%
2022-02-23,90769726,-4.65%
2022-02-22,95197518,-0.77%
2022-02-18,95935483,-7.14%
2022-02-17,103315136,-6.67%
2022-02-16,110694789,2.04%
2022-02-15,108480893,8.09%
2022-02-14,100363275,-3.55%
2022-02-11,104053101,-3.42%
2022-02-10,107742927,-1.35%
2022-02-09,109218858,5.71%
2022-02-08,103315136,-2.78%
2022-02-07,106266997,-4.00%
2022-02-04,110694789,-0.66%
2022-02-03,111432754,-5.03%
2022-02-02,117336476,-5.36%
