Date,Market Cap,% Change
2023-04-24,21101894090,-0.07%
2023-04-21,21116614630,0.31%
2023-04-20,21050372200,-0.35%
2023-04-19,21123974900,0.74%
2023-04-18,20969409230,-0.80%
2023-04-17,21138695440,0.53%
2023-04-14,21028291390,-0.66%
2023-04-13,21168136520,0.35%
2023-04-12,21094533820,-0.59%
2023-04-11,21219658410,0.66%
2023-04-10,21079813280,0.32%
2023-04-06,21013570850,0.60%
2023-04-05,20888446260,3.01%
2023-04-04,20277543850,-0.11%
2023-04-03,20299624660,-0.76%
2023-03-31,20454190330,0.87%
2023-03-30,20277543850,0.07%
2023-03-29,20262823310,1.62%
2023-03-28,19938971430,0.48%
2023-03-27,19843287920,0.67%
2023-03-24,19710803060,3.36%
2023-03-23,19070459570,-1.33%
2023-03-22,19328069020,-1.94%
2023-03-21,19710803060,-1.80%
2023-03-20,20071456290,1.64%
2023-03-17,19747604410,-1.36%
2023-03-16,20019934400,-0.15%
2023-03-15,20049375480,0.93%
2023-03-14,19865368730,0.86%
2023-03-13,19696082520,1.94%
2023-03-10,19320708750,-1.24%
2023-03-09,19563597660,-1.56%
2023-03-08,19872729000,0.45%
2023-03-07,19784405760,-2.18%
2023-03-06,20226021960,0.33%
2023-03-03,20159779530,1.00%
2023-03-02,19961052240,1.65%
2023-03-01,19637200360,-1.44%
2023-02-28,19924250890,-1.74%
2023-02-27,20277543850,-0.51%
2023-02-24,20380587630,-0.61%
2023-02-23,20505712220,0.54%
2023-02-22,20395308170,-0.40%
2023-02-21,20476271140,-3.44%
2023-02-17,21204937870,1.27%
2023-02-16,20939968150,-0.80%
2023-02-15,21109254360,0.49%
2023-02-14,21006210580,-0.94%
2023-02-13,21204937870,0.52%
2023-02-10,21094533820,2.14%
2023-02-09,20652917620,-1.09%
2023-02-08,20881085990,-1.32%
2023-02-07,21160776250,-0.31%
2023-02-06,21227018680,0.63%
2023-02-03,21094533820,-2.48%
2023-02-02,21631833530,-0.74%
2023-02-01,21793759470,0.03%
2023-01-31,21786399200,0.51%
2023-01-30,21675995150,-0.61%
2023-01-27,21808480010,-0.17%
2023-01-26,21845281360,0.61%
2023-01-25,21712796500,0.03%
2023-01-24,21705436230,0.58%
2023-01-23,21580311640,
2023-01-20,21580311640,0.58%
2023-01-19,21455187050,-1.88%
2023-01-18,21867362170,-2.88%
2023-01-17,22515065930,-0.07%
2023-01-13,22529786470,-0.36%
2023-01-12,22610749440,-0.26%
2023-01-11,22669631600,2.09%
2023-01-10,22205934590,
2023-01-09,22205934590,0.70%
2023-01-06,22051368920,2.46%
2023-01-05,21521429480,-2.31%
2023-01-04,22029288110,2.50%
2023-01-03,21491988400,-0.07%
2022-12-30,21506708940,-1.48%
2022-12-29,21830560820,0.75%
2022-12-28,21668634880,-0.84%
2022-12-27,21852641630,0.51%
2022-12-23,21742237580,1.23%
2022-12-22,21477267860,-0.75%
