Date,Market Cap,% Change
2023-04-24,78694200000,0.67%
2023-04-21,78173820000,0.81%
2023-04-20,77547240000,0.29%
2023-04-19,77324220000,0.32%
2023-04-18,77079960000,0.33%
2023-04-17,76825080000,0.56%
2023-04-14,76400280000,-0.72%
2023-04-13,76952520000,0.47%
2023-04-12,76591440000,0.40%
2023-04-11,76283460000,-0.29%
2023-04-10,76506480000,-0.37%
2023-04-06,76793220000,1.13%
2023-04-05,75933000000,2.69%
2023-04-04,73947060000,0.96%
2023-04-03,73246140000,-0.88%
2023-03-31,73893960000,0.75%
2023-03-30,73341720000,-0.40%
2023-03-29,73639080000,1.39%
2023-03-28,72630180000,0.22%
2023-03-27,72470880000,-0.51%
2023-03-24,72842580000,3.39%
2023-03-23,70453080000,-0.55%
2023-03-22,70846020000,-0.63%
2023-03-21,71292060000,-2.07%
2023-03-20,72800100000,0.96%
2023-03-17,72109800000,-0.32%
2023-03-16,72343440000,0.69%
2023-03-15,71844300000,2.22%
2023-03-14,70283160000,1.58%
2023-03-13,69189300000,1.89%
2023-03-10,67904280000,-0.94%
2023-03-09,68552100000,-0.28%
2023-03-08,68743260000,0.62%
2023-03-07,68318460000,-1.38%
2023-03-06,69274260000,0.65%
2023-03-03,68828220000,1.79%
2023-03-02,67617540000,2.17%
2023-03-01,66183840000,-1.17%
2023-02-28,66969720000,-2.04%
2023-02-27,68360940000,-0.29%
2023-02-24,68562720000,-0.28%
2023-02-23,68753880000,-0.77%
2023-02-22,69284880000,-0.47%
2023-02-21,69614100000,-1.62%
2023-02-17,70761060000,1.17%
2023-02-16,69943320000,-1.36%
2023-02-15,70909740000,0.18%
2023-02-14,70782300000,-0.72%
2023-02-13,71292060000,0.37%
2023-02-10,71026560000,1.67%
2023-02-09,69858360000,-1.01%
2023-02-08,70569900000,-1.90%
2023-02-07,71939880000,-0.24%
2023-02-06,72109800000,0.94%
2023-02-03,71440740000,-1.97%
2023-02-02,72874440000,-0.35%
2023-02-01,73129320000,1.74%
2023-01-31,71876160000,0.37%
2023-01-30,71610660000,-0.84%
2023-01-27,72216000000,0.71%
2023-01-26,71706240000,0.39%
2023-01-25,71430120000,0.84%
2023-01-24,70835400000,-0.24%
2023-01-23,71005320000,-0.39%
2023-01-20,71281440000,1.01%
2023-01-19,70569900000,-1.88%
2023-01-18,71918640000,-3.33%
2023-01-17,74393100000,-0.38%
2023-01-13,74679840000,-0.03%
2023-01-12,74701080000,-1.70%
