Date,Market Cap,% Change
2023-04-25,3658567999,0.27%
2023-04-24,3648612000,-0.40%
2023-04-21,3663284000,0.19%
2023-04-20,3656472000,-0.24%
2023-04-19,3665380000,1.35%
2023-04-18,3616648000,-0.92%
2023-04-17,3650184000,2.43%
2023-04-14,3563724000,-1.88%
2023-04-13,3631844000,-0.62%
2023-04-12,3654375999,-1.87%
2023-04-11,3724067999,-0.38%
2023-04-10,3738216000,0.35%
2023-04-06,3725116000,-0.60%
2023-04-05,3747648000,2.80%
2023-04-04,3645467999,-0.10%
2023-04-03,3649136000,-0.71%
2023-03-31,3675336000,-0.97%
2023-03-30,3711492000,0.78%
2023-03-29,3682672000,1.50%
2023-03-28,3628175999,-0.06%
2023-03-27,3630272000,0.10%
2023-03-24,3626603999,3.58%
2023-03-23,3501367999,-0.88%
2023-03-22,3532284000,-2.13%
2023-03-21,3609312000,-2.03%
2023-03-20,3684244000,0.43%
2023-03-17,3668524000,-1.48%
2023-03-16,3723544000,2.19%
2023-03-15,3643896000,-0.16%
2023-03-14,3649660000,2.59%
2023-03-13,3557436000,2.12%
2023-03-10,3483552000,-1.12%
2023-03-09,3522852000,-1.61%
2023-03-08,3580492000,0.43%
2023-03-07,3565296000,-1.06%
2023-03-06,3603548000,-1.73%
2023-03-03,3666952000,0.39%
2023-03-02,3652803999,-1.05%
2023-03-01,3691580000,0.07%
2023-02-28,3688960000,-1.17%
2023-02-27,3732452000,-0.57%
2023-02-24,3753936000,-0.38%
2023-02-23,3768084000,-0.26%
2023-02-22,3778039999,0.60%
2023-02-21,3755508000,-1.71%
2023-02-17,3821008000,1.55%
2023-02-16,3762844000,-0.25%
2023-02-15,3772275999,0.59%
2023-02-14,3750267999,-2.08%
2023-02-13,3829916000,0.44%
2023-02-10,3813148000,1.52%
2023-02-09,3756032000,-1.36%
2023-02-08,3807908000,-2.38%
2023-02-07,3900656000,-1.02%
2023-02-06,3941003999,-0.50%
2023-02-03,3960916000,1.46%
2023-02-02,3903800000,0.34%
2023-02-01,3890700000,2.81%
2023-01-31,3784328000,1.80%
2023-01-30,3717256000,-0.52%
2023-01-27,3736644000,0.35%
2023-01-26,3723544000,
2023-01-25,3723544000,0.04%
2023-01-24,3721972000,0.89%
2023-01-23,3688960000,0.57%
2023-01-20,3668000000,-0.23%
2023-01-19,3676384000,-0.33%
2023-01-18,3688436000,-1.74%
2023-01-17,3753936000,-2.02%
2023-01-13,3831488000,0.40%
2023-01-12,3816292000,0.01%
2023-01-11,3815767999,1.10%
2023-01-10,3774372000,0.49%
2023-01-09,3756032000,-0.60%
2023-01-06,3778564000,2.88%
2023-01-05,3672716000,-1.02%
2023-01-04,3710444000,1.94%
2023-01-03,3639703999,0.87%
2022-12-30,3608264000,-1.89%
2022-12-29,3677956000,1.31%
2022-12-28,3630272000,-0.93%
2022-12-27,3664332000,0.33%
2022-12-23,3652280000,1.80%
2022-12-22,3587828000,0.19%
2022-12-21,3581016000,2.67%
2022-12-20,3487744000,0.24%
2022-12-19,3479360000,0.91%
2022-12-16,3447920000,-1.60%
2022-12-15,3503988000,-1.44%
2022-12-14,3555339999,-0.22%
2022-12-13,3563200000,-0.61%
2022-12-12,3585208000,1.06%
2022-12-09,3547480000,-1.61%
2022-12-08,3605644000,0.03%
2022-12-07,3604596000,1.88%
2022-12-06,3538048000,3.67%
2022-12-05,3412812000,-5.25%
2022-12-02,3601975999,-3.44%
2022-12-01,3730356000,-3.93%
2022-11-30,3882839999,1.34%
2022-11-29,3831488000,-0.75%
2022-11-28,3860308000,-1.34%
2022-11-25,3912708000,1.37%
2022-11-23,3859784000,0.50%
2022-11-22,3840396000,1.16%
2022-11-21,3796380000,2.24%
2022-11-18,3713064000,3.29%
2022-11-17,3594639999,1.24%
2022-11-16,3550624000,-3.21%
2022-11-15,3668524000,0.66%
2022-11-14,3644420000,-1.40%
2022-11-11,3696296000,-0.80%
2022-11-10,3726164000,3.95%
2022-11-09,3584684000,0.63%
2022-11-08,3562152000,0.82%
2022-11-07,3533332000,-1.53%
2022-11-04,3588352000,0.81%
2022-11-03,3559532000,-1.81%
2022-11-02,3625032000,-1.66%
2022-11-01,3686339999,0.77%
2022-10-31,3658044000,0.16%
2022-10-28,3652280000,0.87%
2022-10-27,3620839999,1.72%
2022-10-26,3559532000,1.54%
2022-10-25,3505560000,1.98%
2022-10-24,3437439999,0.37%
2022-10-21,3424864000,0.86%
2022-10-20,3395520000,-1.05%
2022-10-19,3431675999,-0.56%
2022-10-18,3451064000,1.79%
2022-10-17,3390280000,2.37%
2022-10-14,3311680000,-3.30%
2022-10-13,3424864000,3.84%
2022-10-12,3298056000,-1.07%
