Date,Market Cap,% Change
2023-04-24,49134146775,0.51%
2023-04-21,48883184000,-0.09%
2023-04-20,48926829700,-0.66%
2023-04-19,49254172450,1.26%
2023-04-18,48640015100,0.67%
2023-04-17,48315789900,1.27%
2023-04-14,47707867650,-1.12%
2023-04-13,48247203800,0.53%
2023-04-12,47994682250,-0.52%
2023-04-11,48244086250,-0.35%
2023-04-10,48412433950,-0.03%
2023-04-06,48428021700,1.44%
2023-04-05,47742160699,1.92%
2023-04-04,46844306300,0.45%
2023-04-03,46632312900,-1.05%
2023-03-31,47124885800,1.07%
2023-03-30,46626077800,0.75%
2023-03-29,46280029750,2.06%
2023-03-28,45344764750,0.78%
2023-03-27,44992481600,1.08%
2023-03-24,44512378900,2.21%
2023-03-23,43549055950,-1.63%
2023-03-22,44269210000,-2.47%
2023-03-21,45388410450,-1.30%
2023-03-20,45986980050,1.49%
2023-03-17,45310471700,-2.25%
2023-03-16,46354850950,1.59%
2023-03-15,45628461800,-0.33%
2023-03-14,45781221750,2.00%
2023-03-13,44883367350,-0.10%
2023-03-10,44927013050,-2.38%
2023-03-09,46021273100,-0.67%
2023-03-08,46333028100,0.22%
2023-03-07,46233266500,-1.83%
2023-03-06,47093710300,0.11%
2023-03-03,47040711949,1.48%
2023-03-02,46354850950,0.56%
2023-03-01,46096094300,-1.40%
2023-02-28,46750779800,-3.18%
2023-02-27,48284614400,-0.26%
2023-02-24,48409316400,-0.24%
2023-02-23,48527783300,0.32%
2023-02-22,48371905800,-0.17%
2023-02-21,48452962099,-1.94%
2023-02-17,49410049950,0.65%
2023-02-16,49092059850,-0.58%
2023-02-15,49378874449,0.98%
2023-02-14,48898771750,-0.59%
2023-02-13,49188703900,0.41%
2023-02-10,48986063150,2.86%
2023-02-09,47623693800,-1.07%
2023-02-08,48141207099,-1.71%
2023-02-07,48976710500,-0.34%
2023-02-06,49145058199,1.12%
2023-02-03,48602604500,-3.25%
2023-02-02,50233083150,0.78%
2023-02-01,49843389400,-0.28%
2023-01-31,49983679150,-0.56%
2023-01-30,50267376200,-0.36%
2023-01-27,50451311650,0.83%
2023-01-26,50036677500,0.96%
2023-01-25,49562809900,-0.09%
2023-01-24,49606455600,0.24%
2023-01-23,49487988700,0.47%
2023-01-20,49254172450,1.42%
2023-01-19,48565193900,-0.58%
2023-01-18,48848890950,-3.14%
2023-01-17,50432606350,0.58%
2023-01-13,50139556650,-0.06%
2023-01-12,50170732150,-0.70%
2023-01-11,50523015300,2.89%
2023-01-10,49104530050,0.24%
2023-01-09,48986063150,1.68%
2023-01-06,48178617700,1.35%
2023-01-05,47536402400,-1.65%
2023-01-04,48334495200,0.87%
2023-01-03,47919861050,-0.54%
2022-12-30,48178617700,-0.86%
2022-12-29,48596369400,-0.28%
2022-12-28,48733541600,-1.59%
2022-12-27,49519164200,0.69%
2022-12-23,49179351250,0.45%
2022-12-22,48958005200,0.19%
2022-12-21,48864478700,0.13%
2022-12-20,48799010150,-0.48%
2022-12-19,49032826400,-0.03%
2022-12-16,49045296600,-2.83%
2022-12-15,50476252050,-1.12%
2022-12-14,51049881250,-0.55%
2022-12-13,51333578300,-0.53%
2022-12-12,51604805150,2.72%
2022-12-09,50239318250,-0.59%
2022-12-08,50535485500,-0.20%
2022-12-07,50635247099,-1.77%
2022-12-06,51548689250,1.01%
2022-12-05,51031175950,-1.35%
2022-12-02,51729507150,-0.77%
2022-12-01,52131671100,0.62%
2022-11-30,51810563450,3.02%
2022-11-29,50292316600,-1.08%
2022-11-28,50841005400,-0.23%
2022-11-25,50959472300,0.28%
2022-11-23,50816065000,1.67%
2022-11-22,49983679150,0.98%
2022-11-21,49497341350,0.59%
2022-11-18,49207409200,2.44%
2022-11-17,48035210400,-2.12%
2022-11-16,49073354550,1.27%
2022-11-15,48456079650,-0.12%
2022-11-14,48512195550,0.62%
2022-11-11,48212910750,-0.76%
2022-11-10,48580781650,3.84%
2022-11-09,46785072850,-1.09%
2022-11-08,47302586150,1.35%
2022-11-07,46672841050,-3.31%
2022-11-04,48269026650,1.45%
2022-11-03,47576930550,1.38%
2022-11-02,46931597700,-0.60%
2022-11-01,47215294750,0.34%
2022-10-31,47056299700,-0.95%
2022-10-28,47508344449,1.59%
2022-10-27,46763250000,1.67%
2022-10-26,45993215150,0.90%
2022-10-25,45584816100,1.44%
2022-10-24,44936365699,1.31%
2022-10-21,44356501400,1.82%
2022-10-20,43564643700,-2.78%
2022-10-19,44811663700,-1.15%
2022-10-18,45332294550,0.37%
2022-10-17,45163946850,2.38%
2022-10-14,44113332500,-1.07%
2022-10-13,44590317650,1.66%
2022-10-12,43863928500,-4.26%
2022-10-11,45815514800,-0.40%
2022-10-10,45999450250,0.35%
2022-10-07,45837337650,-1.26%
2022-10-06,46423437050,-3.01%
2022-10-05,47863745150,-2.60%
2022-10-04,49141940650,1.62%
2022-10-03,48359435600,3.45%
2022-09-30,46744544700,-3.23%
2022-09-29,48305457200,-3.50%
2022-09-28,50059352200,1.84%
2022-09-27,49156893500,-1.96%
2022-09-26,50139074700,-2.81%
2022-09-23,51590024200,-1.47%
2022-09-22,52358549100,-1.25%
2022-09-21,53018651400,-1.54%
2022-09-20,53847765400,-2.35%
2022-09-19,55145647700,2.67%
2022-09-16,53713831600,-1.43%
2022-09-15,54491923200,-1.62%
2022-09-14,55391193000,1.68%
2022-09-13,54475978700,-2.74%
2022-09-12,56013028500,1.09%
2022-09-09,55410326400,0.47%
2022-09-08,55148836600,-0.32%
2022-09-07,55324226100,3.37%
2022-09-06,53519308700,0.62%
2022-09-02,53190852000,-0.72%
2022-09-01,53576708900,1.84%
2022-08-31,52607283300,-0.66%
2022-08-30,52954873400,-1.33%
2022-08-29,53665998100,1.05%
2022-08-26,53107940600,-1.26%
2022-08-25,53787176299,0.14%
2022-08-24,53710642700,0.08%
2022-08-23,53669187000,0.08%
2022-08-22,53627731299,-1.11%
2022-08-19,54230433400,-0.22%
2022-08-18,54351611600,0.50%
2022-08-17,54080555100,0.32%
2022-08-16,53908354500,0.91%
2022-08-15,53420452800,0.69%
2022-08-12,53053729300,1.51%
2022-08-11,52262882099,0.25%
2022-08-10,52132137200,0.57%
2022-08-09,51835569500,0.99%
2022-08-08,51328534400,0.73%
2022-08-05,50955433100,-1.02%
2022-08-04,51481601600,-1.90%
2022-08-03,52479727300,0.53%
2022-08-02,52202293000,-1.01%
2022-08-01,52734839300,-0.26%
2022-07-29,52871962000,1.36%
2022-07-28,52164026200,2.27%
2022-07-27,51006455500,0.17%
2022-07-26,50920355200,0.89%
2022-07-25,50470720300,2.61%
2022-07-22,49185593600,0.49%
2022-07-21,48946426100,0.47%
2022-07-20,48716825300,0.78%
2022-07-19,48340535100,1.49%
2022-07-18,47629410400,-1.24%
2022-07-15,48228923600,2.18%
2022-07-14,47198908900,0.87%
