Date,Market Cap,% Change
2023-04-24,7228027620,-1.60%
2023-04-21,7345590660,0.06%
2023-04-20,7341391980,0.14%
2023-04-19,7330895280,0.95%
2023-04-18,7261617060,-0.86%
2023-04-17,7324597260,0.98%
2023-04-14,7253219699,-0.80%
2023-04-13,7312001220,-0.57%
2023-04-12,7353988020,-0.88%
2023-04-11,7419067560,0.97%
2023-04-10,7347690000,0.81%
2023-04-06,7288908480,-0.09%
2023-04-05,7295206500,1.94%
2023-04-04,7156650060,-0.26%
2023-04-03,7175544120,-1.67%
2023-03-31,7297305840,2.36%
2023-03-30,7129358640,0.80%
2023-03-29,7072676459,0.57%
2023-03-28,7032789000,-0.18%
2023-03-27,7045385040,1.18%
2023-03-24,6963510780,1.50%
2023-03-23,6860643120,-4.64%
2023-03-22,7194438180,-3.25%
2023-03-21,7435862280,-0.20%
2023-03-20,7450557660,1.31%
2023-03-17,7353988020,-0.34%
2023-03-16,7379180100,1.41%
2023-03-15,7276312439,-2.26%
2023-03-14,7444259640,1.23%
2023-03-13,7353988020,-0.26%
2023-03-10,7372882079,-3.09%
2023-03-09,7608008160,-1.41%
2023-03-08,7717173840,-0.30%
2023-03-07,7740266579,-0.65%
2023-03-06,7790650740,-1.30%
2023-03-03,7893518400,0.80%
2023-03-02,7830538199,0.65%
2023-03-01,7780154040,-0.46%
2023-02-28,7815842819,-1.25%
2023-02-27,7914511800,-0.03%
2023-02-24,7916611140,-0.92%
2023-02-23,7990088040,0.16%
2023-02-22,7977492000,-0.39%
2023-02-21,8008982100,-2.55%
2023-02-17,8218916100,1.16%
2023-02-16,8124445800,-2.32%
2023-02-15,8317585079,0.43%
2023-02-14,8281896300,-1.25%
2023-02-13,8386863300,1.47%
2023-02-10,8265101579,2.21%
2023-02-09,8086657680,-2.97%
2023-02-08,8334379800,-2.34%
2023-02-07,8533817100,1.27%
2023-02-06,8426750760,-4.38%
2023-02-03,8813029320,-1.50%
2023-02-02,8947387080,5.29%
2023-02-01,8498128319,1.63%
2023-01-31,8361671220,1.87%
2023-01-30,8208419400,-1.78%
2023-01-27,8357472540,0.38%
2023-01-26,8325982439,-0.28%
2023-01-25,8349075180,0.73%
2023-01-24,8288194319,-0.68%
2023-01-23,8344876500,0.86%
2023-01-20,8273498939,1.31%
2023-01-19,8166432600,-0.66%
2023-01-18,8221015439,-3.28%
2023-01-17,8500227660,-0.56%
2023-01-13,8548512480,-1.76%
2023-01-12,8701764300,1.07%
2023-01-11,8609393340,1.38%
2023-01-10,8491830300,1.25%
2023-01-09,8386863300,1.24%
2023-01-06,8283995640,3.52%
2023-01-05,8002684079,-1.32%
2023-01-04,8109750420,1.52%
2023-01-03,7987988699,2.64%
2022-12-30,7782253380,-1.51%
2022-12-29,7901915760,1.51%
2022-12-28,7784352720,-1.96%
2022-12-27,7939703880,1.31%
2022-12-23,7836836220,1.33%
2022-12-22,7733968560,-1.97%
2022-12-21,7889319720,3.36%
2022-12-20,7633200240,-1.17%
2022-12-19,7723471860,0.27%
2022-12-16,7702478459,-3.57%
